股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600000,浦发银行,"0","388,966,000,000","65,000,000","0","0","0","0","0","142,726,000,000","0","0","0","37,307,000,000","576,959,000,000","0","214,125,000,000","127,939,000,000","0","71,275,000,000","0","14,029,000,000","16,472,000,000","18,008,000,000","484,381,000,000","92,578,000,000","170,237,000,000","14,348,000,000","0","0","23,000,000","184,608,000,000","3,356,000,000","324,063,000,000","0","0","0","327,419,000,000","-142,811,000,000","1,385,000,000","1,385,000,000","0","42,000,000,000","0","43,385,000,000","6,000,000,000","7,376,000,000","0","0","13,376,000,000","30,009,000,000","-230,000,000","-20,454,000,000","292,174,000,000"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"4,764,511,540.46","0","0","0","0","0","0","0","0","0","0","0","22,282,584.56","4,786,794,125.02","988,278,326.88","0","0","0","0","0","1,348,056,880.56","525,197,711.85","128,601,544.81","2,990,134,464.1","1,796,659,660.92","0","5,852,000","274,929.78","0","72,050,530.44","78,177,460.22","361,344,371","0","0","0","0","361,344,371","-283,166,910.78","0","0","1,100,000,000","0","9,600,000","1,109,600,000","303,000,000","506,581,069.95","7,447,969.96","2,557,264.68","2,312,138,334.63","-1,202,538,334.63","-70,333.35","310,884,082.16","1,149,290,628.98"
600005,武钢股份,"95,250,642,839.09","0","0","0","0","0","0","0","0","0","0","60,851,338.41","102,215,543.16","95,413,709,720.66","84,117,428,423.93","0","0","0","0","0","4,444,902,373.17","1,953,360,358.15","1,043,380,648.63","91,559,071,803.88","3,854,637,916.78","11,131,421.05","72,042,730.38","760,391,847","0","0","843,565,998.43","4,395,066,322.87","602,500,000","0","0","0","4,997,566,322.87","-4,154,000,324.44","33,000,000","0","37,890,220,259.48","7,156,800,000","0","45,080,020,259.48","42,821,089,337.73","2,104,735,899.27","1,200,256.72","22,910,453.34","44,948,735,690.34","131,284,569.14","457,932.93","-167,619,905.59","1,613,667,896.73"
600006,东风汽车,"18,092,506,070.85","0","0","0","0","0","0","0","0","0","0","121,419,994.73","534,255,448.95","18,748,181,514.53","15,405,581,432.06","0","0","0","0","0","1,155,162,943.44","1,039,077,963.16","1,511,454,021.14","19,111,276,359.8","-363,094,845.27","156,836,444.88","460,390,165.3","3,724,824.57","0","97,055,948.05","718,007,382.8","520,641,607.27","221,787,272.87","0","1,429,209.14","44,883,293.96","788,741,383.24","-70,734,000.44","0","0","85,382,332.07","991,000,000","909,420,484.52","1,985,802,816.59","72,023,615.33","101,566,783.72","0","591,016,680.26","764,607,079.31","1,221,195,737.28","982,796.99","788,349,688.56","3,419,179,773.22"
600007,中国国贸,"1,969,603,788","0","0","0","0","0","0","0","0","0","0","0","88,126,929","2,057,730,717","258,446,498","0","0","0","0","0","238,424,255","333,723,420","247,413,974","1,078,008,147","979,722,570","2,110,000,000","0","159,455","0","11,262,954","2,121,422,409","248,290,544","2,110,000,000","0","0","0","2,358,290,544","-236,868,135","0","0","0","0","0","0","350,000,000","369,763,644","600,000","0","719,763,644","-719,763,644","-115,600","22,975,191","443,971,052"
600008,首创股份,"3,311,748,114.95","0","0","0","0","0","0","0","0","0","0","75,213.47","800,450,763.43","4,112,274,091.85","2,448,940,936.69","0","0","0","0","0","647,870,582.43","349,463,894.3","600,434,579.4","4,046,709,992.82","65,564,099.03","468,862,040.08","35,569,300.41","9,886,046.72","0","70,767,178.48","585,084,565.69","892,804,359.58","1,513,791,355.35","0","41,908,059.55","0","2,448,503,774.48","-1,863,419,208.79","84,897,755","60,897,755","4,743,303,379","0","37,388,483.66","4,865,589,617.66","3,042,255,061.2","786,989,196.96","18,787,082.39","49,564,565.88","3,878,808,824.04","986,780,793.62","359,138.8","-810,715,177.34","2,321,055,382.55"
600009,上海机场,"5,097,351,334.92","0","0","0","0","0","0","0","0","0","0","0","77,541,831.92","5,174,893,166.84","778,684,476.04","0","0","0","0","0","1,220,923,795.7","630,379,117.7","362,480,984.13","2,992,468,373.57","2,182,424,793.27","0","567,175,430.1","72,900","0","25,023,801.31","592,272,131.41","107,895,819.82","0","0","0","0","107,895,819.82","484,376,311.59","0","0","0","0","0","0","0","1,286,175,068.8","0","0","1,286,175,068.8","-1,286,175,068.8","-424.71","1,380,625,611.35","4,795,699,132.6"
600010,包钢股份,"45,991,976,051.55","0","0","0","0","0","0","0","0","0","0","134,443,248.25","257,891,860.75","46,384,311,160.55","35,815,982,821.28","0","0","0","0","0","3,318,778,256.04","1,687,995,555.28","71,398,397.98","40,894,155,030.58","5,490,156,129.97","0","4,995,683.06","139,900,000","0","112,540,367.3","257,436,050.36","9,951,036,911.37","0","0","0","2,050,000","9,953,086,911.37","-9,695,650,861.01","0","0","13,566,967,949.6","2,000,000,000","1,030,000,000","16,596,967,949.6","9,279,298,353.33","1,444,900,574.53","0","2,660,537,278.64","13,384,736,206.5","3,212,231,743.1","0","-993,262,987.94","1,855,928,832.83"
600011,华能国际,"150,809,481,327","0","0","0","0","0","0","0","0","0","0","191,717,289","1,332,526,399","152,333,725,015","110,034,867,124","0","0","0","0","0","5,297,218,918","8,565,101,879","1,508,455,058","125,405,642,979","26,928,082,036","100,000,000","728,753,641","949,468,571","0","143,436,887","1,921,659,099","15,607,610,754","1,447,573,400","0","149,048,440","27,031,384","17,231,263,978","-15,309,604,879","665,333,166","665,333,166","67,719,955,918","39,915,000,000","372,609,631","108,672,898,715","108,316,273,276","10,105,288,177","460,606,773","68,236,672","118,489,798,125","-9,816,899,410","151,027,405","1,952,605,152","10,505,387,385"
600012,皖通高速,"2,268,727,125.04","0","0","0","0","0","0","0","0","0","0","0","21,737,708.21","2,290,464,833.25","166,103,182.51","0","0","0","0","0","197,591,009.68","429,703,084.6","187,275,654.17","980,672,930.96","1,309,791,902.29","0","10,298,000","636,508.35","0","3,830,321.81","14,764,830.16","858,306,780.66","215,000,000","0","184,210,000","0","1,257,516,780.66","-1,242,751,950.5","242,353,041","242,353,041","505,300,000","0","0","747,653,041","86,168,500","568,909,685.91","77,140,161.3","0","655,078,185.91","92,574,855.09","0","159,614,806.88","762,837,619.25"
600015,华夏银行,"0","233,810,127,318.89","30,000,000","0","0","0","0","0","41,247,417,946.39","0","0","0","531,914,053.22","275,619,459,318.5","0","109,263,507,199.29","14,177,010,271.88","0","0","0","6,768,094,744.51","8,086,858,867.48","6,435,030,035.93","180,775,524,063.11","94,843,935,255.39","58,206,062,012.51","0","0","0","1,151,442.37","58,207,213,454.88","2,818,073,834.86","114,581,925,539.44","0","0","0","117,399,999,374.3","-59,192,785,919.42","0","0","0","0","0","0","13,620,000,000","1,712,431,444","0","1,016,787,377.05","16,349,218,821.05","-16,349,218,821.05","-3,860,075.13","19,298,070,439.79","145,164,587,949.43"
600016,民生银行,"0","754,416,000,000","0","0","0","0","0","0","161,853,000,000","24,961,000,000","79,468,000,000","0","73,158,000,000","1,093,856,000,000","0","182,624,000,000","110,686,000,000","0","66,904,000,000","0","16,475,000,000","24,149,000,000","92,355,000,000","1,113,745,000,000","-19,889,000,000","135,429,000,000","6,306,000,000","751,000,000","0","0","142,486,000,000","9,298,000,000","161,783,000,000","0","0","0","171,081,000,000","-28,595,000,000","9,209,000,000","204,000,000","0","49,919,000,000","0","59,128,000,000","6,000,000,000","14,325,000,000","0","0","20,325,000,000","38,803,000,000","-13,000,000","-9,694,000,000","258,568,000,000"
600017,日照港,"3,992,358,878.44","0","0","0","0","0","0","0","0","0","0","0","861,621,574.79","4,853,980,453.23","1,904,397,183.44","0","0","0","0","0","475,286,875.74","448,783,937","1,043,857,672.94","3,872,325,669.12","981,654,784.11","0","21,000,000","2,169,700","0","14,720,000","37,889,700","745,855,580.82","182,000,000","0","0","305,150,400","1,233,005,980.82","-1,195,116,280.82","0","0","1,457,942,418.86","493,000,000","0","1,950,942,418.86","1,588,656,666.67","378,825,006.08","0","65,550,819.07","2,033,032,491.82","-82,090,072.96","0","-295,551,569.67","868,420,712.55"
600018,上港集团,"27,199,469,075.37","0","0","0","0","0","0","0","0","0","0","438,314,387.45","4,439,053,034.86","32,076,836,497.68","14,645,840,486.66","0","0","0","0","0","3,794,133,477.94","2,509,022,842.88","4,586,173,977.94","25,535,170,785.42","6,541,665,712.26","27,953,862.2","208,310,984.16","30,655,308.51","0","0","266,920,154.87","1,638,654,611.12","2,858,660,968.85","0","0","0","4,497,315,579.97","-4,230,395,425.1","59,500,000","59,500,000","6,994,129,000","0","0","7,053,629,000","5,752,966,666","4,556,300,037.2","981,726,324.75","1,740,100","10,311,006,803.2","-3,257,377,803.2","-2,968,392.6","-949,075,908.64","8,977,047,762.49"
600019,宝钢股份,"220,057,231,706.7","0","0","0","0","0","0","0","380,236,620.78","300,000,000","0","236,335,694.24","1,733,758,724.11","224,028,622,528.57","184,147,619,778.19","0","0","0","234,476,212.22","0","8,780,477,553.29","4,431,758,211.64","3,869,994,679.06","201,826,448,659.69","22,202,173,868.88","3,449,444,471.54","602,985,116.92","21,328,973,756.85","1,973,043,650.38","413,889,215.27","27,768,336,210.96","12,343,614,165.2","12,760,475,730.4","0","-1,422,513.09","16,864,017.29","25,119,531,399.8","2,648,804,811.16","329,817,398.08","329,817,398.08","62,422,098,535.16","1,491,500,000","1,921,647,447.24","66,165,063,380.48","86,374,410,725.23","5,356,022,090.67","151,372,940.28","0","96,515,792,364","-30,350,728,983.52","-59,021,345.38","-5,558,771,648.86","7,621,451,739.79"
600020,中原高速,"3,014,993,668.83","0","0","0","0","0","0","0","0","0","0","0","466,542,456.74","3,481,536,125.57","748,071,505.6","0","0","0","0","0","316,426,692.03","245,327,115.97","307,348,931.92","1,617,174,245.52","1,864,361,880.05","0","9,671,570.56","2,127,794","0","34,669,677.37","46,469,041.93","1,537,257,100.36","220,847,755","0","0","124,273,297.86","1,882,378,153.22","-1,835,909,111.29","0","0","5,107,760,000","0","0","5,107,760,000","4,019,452,256.62","1,220,284,931.43","1,688,849.6","116,057.16","5,239,853,245.21","-132,093,245.21","0","-103,640,476.45","2,032,812,324.84"
600021,上海电力,"17,655,414,050.01","0","0","0","0","0","0","0","0","0","0","22,193,305.89","292,779,743.31","17,970,387,099.21","12,029,022,097.06","0","0","0","0","0","1,464,765,543.03","934,323,827.25","328,250,787.15","14,756,362,254.49","3,214,024,844.72","7,091,141.96","243,060,422.31","35,928,684.38","0","24,105,919.43","310,186,168.08","947,543,462.03","24,790,703.61","0","23,239,455.22","501,000","996,074,620.86","-685,888,452.78","0","0","6,730,125,000","0","0","6,730,125,000","8,290,581,756.1","1,456,086,052.76","220,100,000","53,974,176.16","9,800,641,985.02","-3,070,516,985.02","-1,377,602.66","-543,758,195.74","1,724,631,892.89"
600022,山东钢铁,"39,374,605,389.22","0","0","0","0","0","0","0","0","0","0","19,287,488.74","299,019,098.53","39,692,911,976.49","30,597,814,204.98","0","0","0","0","0","4,193,317,607.26","1,210,169,560.86","599,707,055.91","36,601,008,429.01","3,091,903,547.48","27,323,140.3","0","8,031,155.73","0","0","35,354,296.03","2,495,990,498.69","0","0","0","0","2,495,990,498.69","-2,460,636,202.66","349,525,181.49","0","24,225,424,014.74","0","0","24,574,949,196.23","23,263,276,324.97","1,229,711,805.3","0","875,059,693.33","25,368,047,823.6","-793,098,627.37","2,908,215.14","-158,923,067.41","2,728,374,991.05"
600026,中海发展,"11,635,129,682.82","0","0","0","0","0","0","0","0","0","0","38,308,749.49","364,830,298.36","12,038,268,730.67","8,959,268,231.17","0","0","0","0","0","1,605,538,336.96","153,394,032.85","341,956,568.5","11,060,157,169.48","978,111,561.19","92,000,000","232,017,644.88","233,406,902.73","0","0","557,424,547.61","6,053,409,814.98","557,981,851.48","0","0","962,446.13","6,612,354,112.59","-6,054,929,564.98","113,408,540","113,408,540","12,892,058,212.94","0","0","13,005,466,752.94","6,947,873,284.78","1,052,682,218.32","12,107,216.64","20,976,508.02","8,021,532,011.12","4,983,934,741.82","1,936,140.39","-90,947,121.58","3,285,744,885.61"
