股票代码,简称,货币资金(元),结算备付金(元),拆出资金(元),交易性金融资产(元),应收票据(元),应收帐款(元),预付帐款(元),应收保费(元),应收分保账款(元),应收分保合同准备金(元),应收利息(元),应收股利(元),其他应收款(元),买入返售金融资产(元),存货(元),一年内到期的非流动资产(元),其他流动资产(元),流动资产合计(元),发放贷款和垫款(元),可供出售金融资产(元),持有至到期投资(元),长期应收款(元),长期股权投资(元),投资性房地产(元),固定资产净额(元),在建工程(元),工程物资(元),固定资产清理(元),生产性生物资产(元),油气资产(元),无形资产(元),开发支出(元),商誉(元),长期待摊费用(元),递延税款借项合计(元),其他长期资产(元),非流动资产合计(元),资产总计(元),短期借款(元),向中央银行借款(元),吸收存款及同业存放(元),拆入资金(元),交易性金融负债(元),应付票据(元),应付帐款(元),预收帐款(元),卖出回购金融资产款(元),应付手续费及佣金(元),应付职工薪酬(元),应交税金(元),应付利息(元),应付股利(元),其他应付款(元),应付分保账款(元),保险合同准备金(元),代理买卖证券款(元),代理承销证券款(元),一年内到期的长期负债(元),其他流动负债(元),流动负债合计(元),长期借款(元),应付债券(元),长期应付款(元),专项应付款(元),预计负债(元),递延税款贷项合计(元),其他长期负债(元),长期负债合计(元),负债合计(元),股本(元),资本公积(元),库存股(元),盈余公积(元),一般风险准备(元),未分配利润(元),外币报表折算差额(元),归属于母公司所有者权益合计(元),少数股东权益(元),股东权益合计(元),负债和股东权益合计(元)
600792,云煤能源,"534,044,343.95","0","0","0","663,848,256.49","146,940,055.25","143,562,173.3","0","0","0","0","0","3,253,968.99","0","403,185,147.75","0","132,326,264.55","2,027,160,210.28","0","0","0","0","0","0","2,906,900,159.16","88,779,323.81","0","0","0","0","453,105,649.3","0","0","0","43,813,801.53","0","3,492,598,933.8","5,519,759,144.08","811,351,832.04","0","0","0","0","714,649,134.52","780,949,942.45","114,318,576.95","0","0","58,891,850.09","45,152,516.98","5,440,662.42","0","143,271,753.78","0","0","0","0","200,000,000","0","2,874,026,269.23","280,000,000","0","0","0","0","64,039,828.07","34,074,750","378,114,578.07","3,252,140,847.3","400,225,000","1,242,142,089.18","0","106,823,411.01","0","515,287,169.16","0","2,267,618,296.78","0","2,267,618,296.78","5,519,759,144.08"
600793,ST宜纸,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600794,保税科技,"359,579,300.56","0","0","0","0","13,824,977.88","2,295,071.05","0","0","0","0","0","594,893,961.79","0","7,676,784.15","0","10,500,000","988,770,095.43","0","0","0","0","41,820,000","5,970,262.54","379,350,196.14","67,580,064.2","0","0","0","0","92,113,543.8","0","0","0","1,035,151.92","0","587,869,218.6","1,576,639,314.03","37,350,159.98","0","0","0","0","13,500,000","42,836,544.97","635,045.79","0","0","5,210,026.2","18,368,162.03","0","0","762,480,964.59","0","0","0","0","18,000,000","0","898,380,903.56","142,000,000","0","0","0","0","0","3,100,000","145,100,000","1,043,480,903.56","213,915,986","92,053,346.42","0","15,581,797.79","0","197,013,058.37","0","518,564,188.58","14,594,221.89","533,158,410.47","1,576,639,314.03"
600795,国电电力,"4,274,831,881.96","0","0","26,275","552,681,114.23","5,362,362,670.38","3,227,755,885.67","0","0","0","0","29,175,021.63","903,173,795.87","0","3,727,552,932.2","0","32,954,483.97","18,110,514,060.91","0","0","0","0","14,662,781,592.17","9,946,785.31","105,155,574,773.07","37,828,659,416.95","3,504,591,087.67","0","0","0","1,861,753,315.85","0","257,242,231.89","18,171,657.01","589,100,204.68","185,880,117.36","164,073,701,181.96","182,184,215,242.87","42,969,050,977.81","0","0","0","0","2,610,808,687.38","12,539,013,659.74","153,874,160.11","0","0","190,459,715.9","-1,653,771,251.98","428,268,531.86","973,628,647.66","4,862,347,421.81","0","0","0","0","2,171,001,741.59","1,270,000,000","66,514,682,291.88","58,707,625,174.43","7,893,601,006.59","7,864,476,772.48","18,260,940.53","0","31,778,819.93","908,048,622.72","75,423,791,336.68","141,938,473,628.56","15,394,570,590","3,587,558,910.26","0","1,829,629,369.02","0","6,565,255,002.94","0","27,377,689,718.76","12,868,051,895.55","40,245,741,614.31","182,184,215,242.87"
600796,钱江生化,"79,203,140.93","0","0","0","22,424,010.04","51,062,889.52","8,893,028.75","0","0","0","0","760,000","26,703,596.84","0","140,731,624.95","0","0","329,778,291.03","0","0","0","140,000,000","257,364,640.58","0","217,288,072.92","111,370,037.27","3,491,110.67","0","0","0","30,466,365.87","0","0","1,760,306.65","2,368,959","117,773,545.37","881,883,038.33","1,211,661,329.36","463,240,000","0","0","0","0","34,104,850.8","66,139,519.01","19,386,779.49","0","0","4,826,218.63","3,117,845.25","970,103.79","245,656","36,926,271.47","0","0","0","0","0","0","628,957,244.44","0","0","81,513,413.83","0","0","778,729.53","1,770,000","84,062,143.36","713,019,387.8","301,402,144","37,581,245.71","0","68,886,710.56","0","77,195,241.64","-886,110.58","484,179,231.33","14,462,710.23","498,641,941.56","1,211,661,329.36"
600797,浙大网新,"815,227,599.8","0","0","18,460,666.04","75,875,062.32","831,063,868.14","249,159,903.41","0","0","0","0","3,431,400","241,592,087.09","0","657,016,788.52","0","127,742.85","2,891,955,118.17","0","0","0","2,986,716.75","1,097,197,351.83","81,229,960.47","365,583,686.65","16,131,042.93","0","0","0","0","42,254,806.15","0","28,836,851.89","17,756,336.14","6,001,200.43","0","1,657,977,953.24","4,549,933,071.41","1,191,698,907.42","0","0","0","45,116.66","83,246,000","714,185,708.78","95,827,699.51","0","0","39,305,581.33","-26,521,757.45","10,765,037.15","8,313,313.36","164,485,889.27","0","0","0","0","17,560,542.03","200,000,000","2,498,912,038.06","43,421,978.9","0","0","0","0","51,964.23","8,250,773.13","51,724,716.26","2,550,636,754.32","842,008,495","296,976,612.59","0","96,369,596.72","0","661,936,919.99","-17,658,631.93","1,879,632,992.37","119,663,324.72","1,999,296,317.09","4,549,933,071.41"
600798,宁波海运,"326,356,259.2","0","0","0","10,005,000","55,230,999.89","2,454,993.06","0","0","0","0","0","4,963,358.45","0","57,052,638.89","0","0","456,063,249.49","0","0","0","0","25,012,746.36","0","2,196,987,672.89","396,576,599.37","0","0","0","0","4,057,011,295.69","0","0","0","459,021.43","0","6,676,047,335.74","7,132,110,585.23","305,000,000","0","0","0","0","0","168,889,189.02","3,770,251.07","0","0","1,816,901.46","49,511,136.26","11,636,111.76","0","65,131,695.46","0","0","0","0","111,619,673.91","0","717,374,958.94","2,972,177,450","594,144,533.39","235,793,920.54","0","0","0","1,836,085.72","3,803,951,989.65","4,521,326,948.59","871,174,542","627,202,681.12","0","212,386,723.25","0","365,217,649","-4,780,754.03","2,071,200,841.34","539,582,795.3","2,610,783,636.64","7,132,110,585.23"
600799,*ST龙科,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600800,天津磁卡,"83,724,487.94","0","0","0","3,140,116.78","79,305,420.27","5,046,466.24","0","0","0","0","27,257.74","92,014,380.74","0","46,908,442.62","0","0","310,166,572.33","0","44,226,517.62","0","0","191,808,745.62","0","182,051,683.48","28,576,927.68","0","0","0","0","165,620,474.11","0","0","0","0","0","612,284,348.51","922,450,920.84","5,000,000","0","0","0","0","0","92,103,664.07","9,084,570.29","0","0","19,590,706.84","127,612,432.29","0","9,568,416.23","448,770,220.7","0","0","0","0","0","1,120,000","712,850,010.42","0","0","0","998,000","191,633,331.7","8,706,564.32","1,300,000","202,637,896.02","915,487,906.44","611,271,047","149,612,286.16","0","44,964,098.71","0","-792,213,734.61","0","13,633,697.26","-6,670,682.86","6,963,014.4","922,450,920.84"
600801,华新水泥,"2,825,437,202","0","0","0","1,152,454,185","611,160,181","77,815,141","0","0","0","0","0","148,938,461","0","1,080,981,439","0","157,309,135","6,054,095,744","0","33,041,120","0","10,645,951","14,859,038","0","12,431,758,878","970,702,004","65,474,467","104,536,782","0","0","1,676,653,352","0","111,154,844","148,208,055","108,547,828","0","15,675,582,319","21,729,678,063","997,950,000","0","0","0","0","32,503,263","2,428,714,288","404,466,765","0","0","143,977,781","307,854,410","31,830,885","66,710,525","206,206,627","0","0","0","0","2,693,349,474","0","7,313,564,018","4,222,803,436","1,197,450,000","142,986,042","0","109,158,708","52,451,338","107,852,021","5,832,701,545","13,146,265,563","935,299,928","3,520,784,820","0","320,166,829","0","2,983,725,288","0","7,759,976,865","823,435,635","8,583,412,500","21,729,678,063"
