股票代码,简称,营业总收入(元),营业收入(元),金融资产利息收入(元),已赚保费(元),手续费及佣金收入(元),营业总成本(元),营业成本(元),金融资产利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),营业税金及附加(元),销售费用(元),管理费用(元),财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),营业利润(元),营业外收入(元),营业外支出(元),非流动资产处置净损失(元),利润总额(元),所得税(元),净利润(元),归属于母公司所有者的净利润(元),少数股东损益(元),基本每股收益(元),稀释每股收益(元)
600000,浦发银行,"82,952,000,000","82,952,000,000","150,243,000,000","0","9,321,000,000","38,533,000,000","38,533,000,000","76,881,000,000","575,000,000","0","0","0","0","0","6,258,000,000","0","0","0","8,119,000,000","-180,000,000","76,000,000","92,000,000","417,000,000","44,419,000,000","434,000,000","99,000,000","0","44,754,000,000","10,443,000,000","34,311,000,000","34,186,000,000","125,000,000","1.833","1.833"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"4,673,315,397","4,673,315,397","0","0","0","3,531,216,533.52","2,852,876,091.11","0","0","0","0","0","0","0","166,424,816.94","81,942,323.43","387,062,971.48","54,350,568.46","-11,440,237.9","0","5,852,000","0","0","1,147,950,863.48","44,393,307.35","124,879,901.64","111,913,117.39","1,067,464,269.19","276,351,152.68","791,113,116.51","753,089,789.84","38,023,326.67","0.65","0.65"
600005,武钢股份,"91,579,393,163.28","91,579,393,163.28","0","0","0","92,066,136,476.1","86,564,802,062.03","0","0","0","0","0","0","0","286,727,890.14","846,209,676.97","2,644,012,758.4","1,689,288,666.46","35,095,422.1","0","109,277,016.06","92,454,275.82","0","-377,466,296.76","503,459,566.68","14,023,286.45","12,032,315.31","111,969,983.47","70,862,742.05","41,107,241.42","210,001,730.26","-168,894,488.84","0.021","0.021"
600006,东风汽车,"17,699,645,354.22","17,699,645,354.22","0","0","0","18,107,121,478.43","15,704,614,254.61","0","0","0","0","0","0","0","285,820,570.42","1,079,488,912.06","1,046,677,277.87","-28,662,820.79","19,183,284.26","0","292,907,315.47","289,899,783.8","0","-114,568,808.74","346,102,914.53","45,390,431.5","3,454,282.48","186,143,674.29","47,416,885.64","138,726,788.65","21,734,192.67","116,992,595.98","0.0109","0.0109"
600007,中国国贸,"1,979,950,431","1,979,950,431","0","0","0","1,497,984,595","1,048,071,726","0","0","0","0","0","0","0","111,572,780","47,065,421","71,004,014","220,118,444","152,210","0","11,579,430","316,476","0","493,545,266","21,748,714","3,430,131","2,967,064","511,863,849","128,606,408","383,257,441","382,577,911","679,530","0.38","0.38"
600008,首创股份,"3,382,924,612.87","3,382,924,612.87","0","0","0","2,803,702,122.79","1,907,622,425.03","0","0","0","0","0","0","0","77,835,053.87","48,987,543.32","468,823,483.74","280,869,677.7","19,563,939.13","797,260.45","39,861,627.34","40,511,463.56","0","619,881,377.87","319,204,381.61","6,355,338.07","913,101.94","932,730,421.41","185,975,544.62","746,754,876.79","581,308,910.9","165,445,965.89","0.2642","0"
600009,上海机场,"4,720,413,738.72","4,720,413,738.72","0","0","0","3,254,428,040.22","2,929,866,320.7","0","0","0","0","0","0","0","104,783,211.64","0","184,879,873.17","35,368,704.64","-470,069.93","0","590,939,596.17","574,812,119.82","0","2,056,925,294.67","51,713,910.96","2,770,357.71","2,429,081.05","2,105,868,847.92","387,547,925.43","1,718,320,922.49","1,581,059,059.47","137,261,863.02","0.82","0.82"
