股票代码,简称,营业总收入(元),营业收入(元),金融资产利息收入(元),已赚保费(元),手续费及佣金收入(元),营业总成本(元),营业成本(元),金融资产利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),营业税金及附加(元),销售费用(元),管理费用(元),财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),营业利润(元),营业外收入(元),营业外支出(元),非流动资产处置净损失(元),利润总额(元),所得税(元),净利润(元),归属于母公司所有者的净利润(元),少数股东损益(元),基本每股收益(元),稀释每股收益(元)
600000,浦发银行,"0","100,015,000,000","177,804,000,000","0","14,573,000,000","0","46,492,000,000","92,627,000,000","669,000,000","0","0","0","0","0","6,813,000,000","0","0","0","13,074,000,000","-1,565,000,000","820,000,000","106,000,000","767,000,000","53,523,000,000","444,000,000","118,000,000","0","53,849,000,000","12,649,000,000","41,200,000,000","40,922,000,000","278,000,000","2.194","2.194"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"5,141,313,419.26","5,141,313,419.26","0","0","0","3,827,968,044.52","3,261,251,903.25","0","0","0","0","0","0","0","47,792,552.58","83,407,246.45","436,353,452.29","3,220,530.02","-4,057,640.07","0","2,048,907.71","-503,092.29","0","1,315,394,282.45","40,366,573.49","66,261,684.81","56,075,122.98","1,289,499,171.13","338,955,137.14","950,544,033.99","894,957,615.68","55,586,418.31","0.78","0.78"
600005,武钢股份,"89,581,302,568.61","89,581,302,568.61","0","0","0","89,428,991,360.99","84,092,196,984.67","0","0","0","0","0","0","0","204,931,908.73","831,093,395","2,845,748,111.92","1,310,247,782.52","144,773,178.15","0","118,261,393.48","111,710,893.48","0","270,572,601.1","348,438,858.29","9,988,571.16","7,690,329.23","609,022,888.23","167,787,140.58","441,235,747.65","427,228,632.97","14,007,114.68","0.042","0.042"
600006,东风汽车,"19,305,694,174.24","19,305,694,174.24","0","0","0","19,605,840,188.66","16,802,776,602.44","0","0","0","0","0","0","0","350,061,913.28","1,227,592,082.7","1,173,479,350.55","-6,206,480.77","58,136,720.46","1,381,092.6","393,215,614.06","371,383,768.21","0","94,450,692.24","289,927,228.79","18,423,440.19","7,699,812.19","365,954,480.84","58,753,298.19","307,201,182.65","50,182,634.84","257,018,547.81","0.0251","0.0251"
600007,中国国贸,"2,050,149,034","2,050,149,034","0","0","0","1,494,720,248","1,061,600,979","0","0","0","0","0","0","0","115,023,600","49,666,785","66,508,867","175,551,095","26,368,922","0","8,675,983","377,100","0","564,104,769","8,755,261","138,208,765","116,969,022","434,651,265","108,852,460","325,798,805","325,196,780","602,025","0.32","0.32"
600008,首创股份,"4,230,653,565.52","4,230,653,565.52","0","0","0","3,772,901,929.07","2,550,858,876.09","0","0","0","0","0","0","0","127,532,923.83","67,819,768.57","617,109,136.95","390,080,148.43","19,501,075.2","-401,703.95","299,879,156.58","-3,586,848.48","0","757,229,089.08","379,523,184.46","43,180,802.37","26,585,916.85","1,093,571,471.17","245,204,318.84","848,367,152.33","601,265,458.02","247,101,694.31","0.2733","0.2733"
600009,上海机场,"5,215,129,817.2","5,215,129,817.2","0","0","0","3,240,278,876.27","2,923,337,464.94","0","0","0","0","0","0","0","116,140,816.53","16,362,170.29","189,983,942.51","-5,889,367.22","343,849.22","0","535,729,323.55","535,729,323.55","0","2,510,580,264.48","5,282,603.29","1,005,847.34","368,903.84","2,514,857,020.43","491,883,666.88","2,022,973,353.55","1,872,854,630.53","150,118,723.02","0.97","0.97"
600010,包钢股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600011,华能国际,"133,832,874,654","133,832,874,654","0","0","0","116,330,269,358","102,865,045,328","0","0","0","0","0","0","0","1,043,855,056","9,127,968","3,433,352,291","7,522,640,063","1,456,248,652","-5,700,800","851,044,079","626,136,176","0","18,347,948,575","449,044,814","1,147,692,229","915,889,252","17,649,301,160","4,544,952,934","13,104,348,226","10,520,133,720","2,584,214,506","0.75","0.75"
600012,皖通高速,"2,330,104,247.29","2,330,104,247.29","0","0","0","1,212,957,331.37","897,749,898.29","0","0","0","0","0","0","0","82,920,446.74","0","88,397,564.8","132,640,921.54","11,248,500","0","88,656,127.63","14,657,041.99","0","1,205,803,043.55","3,229,831.31","445,640.32","230,371.37","1,208,587,234.54","291,375,373.34","917,211,861.2","847,910,073.18","69,301,788.02","0.511","0.511"
600015,华夏银行,"0","45,219,000,000","76,253,000,000","0","6,861,000,000","0","24,559,000,000","37,351,000,000","549,000,000","0","0","0","0","0","3,246,000,000","0","0","0","3,690,000,000","-50,000,000","-116,000,000","0","149,000,000","20,660,000,000","70,000,000","25,000,000","0","20,705,000,000","5,194,000,000","15,511,000,000","15,506,000,000","5,000,000","1.74","1.74"
600016,民生银行,"0","115,886,000,000","182,154,000,000","0","33,061,000,000","0","59,083,000,000","99,121,000,000","3,105,000,000","0","0","0","0","0","8,004,000,000","0","0","0","12,989,000,000","-378,000,000","3,193,000,000","0","-335,000,000","56,803,000,000","748,000,000","400,000,000","0","57,151,000,000","13,869,000,000","43,282,000,000","42,278,000,000","1,004,000,000","1.49","1.43"
600017,日照港,"4,965,500,568.05","4,965,500,568.05","0","0","0","4,071,600,828.73","3,577,409,181.91","0","0","0","0","0","0","0","116,298,649.54","0","128,404,269.85","252,659,435.58","-3,170,708.15","0","127,451,105.73","127,451,105.73","0","1,021,350,845.05","2,560,120.75","481,095.39","473,625.39","1,023,429,870.41","190,779,619.91","832,650,250.5","801,910,146.79","30,740,103.71","0.26","0.26"
600018,上港集团,"28,162,298,532.54","28,162,298,532.54","0","0","0","21,922,753,128.19","18,682,884,882.41","0","0","0","0","0","0","0","221,058,580.51","5,864,868.96","2,151,430,471.6","856,984,387.19","4,529,937.52","0","908,796,651.04","765,531,472.3","0","7,148,342,055.39","726,116,324.83","53,051,267.82","9,368,158.51","7,821,407,112.4","1,545,792,280.3","6,275,614,832.1","5,255,528,522.52","1,020,086,309.58","0.231","0.231"
600019,宝钢股份,"190,025,966,573.58","189,688,379,683.22","334,537,837.59","0","3,049,052.77","183,054,058,733.43","171,718,199,823.29","233,629,976.26","604,451.35","0","0","0","0","0","413,666,506.19","1,963,040,971.61","6,880,731,290.07","-544,131,554.59","2,388,317,269.25","27,585,736.16","684,054,175.06","174,802,410.63","0","7,683,547,751.37","882,372,341.19","556,158,742","472,234,905.84","8,009,761,350.56","1,969,426,727.34","6,040,334,623.22","5,818,471,202.97","221,863,420.25","0.35","0.35"
600020,中原高速,"3,050,880,564.73","3,050,880,564.73","0","0","0","3,012,053,454.4","1,359,919,132.94","0","0","0","0","0","0","0","134,909,327.56","36,874,284.14","178,531,763.17","1,297,123,466.46","4,695,480.13","0","343,025,201.95","334,629,115.75","0","381,852,312.28","92,905,745.44","5,613,251.79","924,427.6","469,144,805.93","72,261,613.08","396,883,192.85","394,594,967.52","2,288,225.33","0.1756","0.1756"
600021,上海电力,"15,131,582,742.62","15,131,582,742.62","0","0","0","13,788,149,385.49","11,826,510,122.12","0","0","0","0","0","0","0","99,043,588.68","36,243","756,233,316.27","1,105,090,968.66","1,235,146.76","0","840,667,925.96","821,859,313.16","0","2,184,101,283.09","76,949,744.6","165,208,214.73","162,618,789.87","2,095,842,812.96","357,423,239.57","1,738,419,573.39","1,180,627,619.24","557,791,954.15","0.5518","0.5518"
600022,山东钢铁,"70,469,797,409.65","70,469,797,409.65","0","0","0","70,443,479,685.74","66,998,647,103.07","0","0","0","0","0","0","0","162,890,558.25","216,609,444.12","1,896,422,073.84","938,073,242.01","230,837,264.45","-27,143,440.15","279,998,380.45","1,694,907.68","0","279,172,664.21","34,827,411.88","95,524,874.3","26,094,088.79","218,475,201.79","54,637,042.36","163,838,159.43","158,294,827.37","5,543,332.06","0.0246","0.0246"
600026,中海发展,"11,392,036,931.66","11,392,036,931.66","0","0","0","13,249,203,818.45","11,254,455,270.14","0","0","0","0","0","0","0","7,877,571.15","49,309,161.73","464,744,229.73","1,050,872,679.04","421,944,906.66","11,637,181","117,060,041.46","111,581,951.72","0","-1,728,469,664.33","45,505,280.97","610,680,394.12","235,477,465.87","-2,293,644,777.48","-11,903,197.3","-2,281,741,580.18","-2,298,400,815.97","16,659,235.79","-0.6751","-0.6751"
600027,华电国际,"66,624,666,000","66,624,666,000","0","0","0","59,802,405,000","51,042,080,000","0","0","0","0","0","0","0","449,746,000","0","1,763,713,000","6,019,207,000","527,659,000","0","509,154,000","506,055,000","0","7,331,415,000","475,415,000","586,450,000","0","7,220,380,000","1,565,121,000","5,655,259,000","4,138,608,000","1,516,651,000","0.561","0.561"
600028,中国石化,"2,880,311,000,000","2,880,311,000,000","0","0","0","2,457,041,000,000","2,457,041,000,000","0","0","0","0","0","0","0","190,672,000,000","44,359,000,000","73,572,000,000","6,274,000,000","4,044,000,000","2,167,000,000","2,510,000,000","0","0","96,453,000,000","3,481,000,000","2,952,000,000","0","96,982,000,000","25,605,000,000","71,377,000,000","67,179,000,000","4,198,000,000","0.579","0.543"
600029,南方航空,"98,130,000,000","98,130,000,000","0","0","0","97,146,000,000","87,061,000,000","0","0","0","0","0","0","0","267,000,000","7,855,000,000","2,689,000,000","-1,294,000,000","568,000,000","0","431,000,000","392,000,000","0","1,415,000,000","2,070,000,000","135,000,000","101,000,000","3,350,000,000","701,000,000","2,649,000,000","1,895,000,000","754,000,000","0.19","0.19"
600030,中信证券,"0","16,115,272,156.7","4,089,745,689.4","0","10,698,834,871.82","0","9,255,648,993.83","3,260,335,887.77","1,060,675,524.79","0","0","0","0","0","772,601,362.05","0","0","0","352,784,351.81","-565,374,027.84","6,035,887,139.45","211,013,960.31","-58,397,218.96","6,859,623,162.87","53,467,598.43","66,999,594.73","0","6,846,091,166.57","1,538,044,291.09","5,308,046,875.48","5,243,916,979.11","64,129,896.37","0.48","0.48"
