股票代码,简称,货币资金(元),结算备付金(元),拆出资金(元),交易性金融资产(元),应收票据(元),应收帐款(元),预付帐款(元),应收保费(元),应收分保账款(元),应收分保合同准备金(元),应收利息(元),应收股利(元),其他应收款(元),买入返售金融资产(元),存货(元),一年内到期的非流动资产(元),其他流动资产(元),流动资产合计(元),发放贷款和垫款(元),可供出售金融资产(元),持有至到期投资(元),长期应收款(元),长期股权投资(元),投资性房地产(元),固定资产净额(元),在建工程(元),工程物资(元),固定资产清理(元),生产性生物资产(元),油气资产(元),无形资产(元),开发支出(元),商誉(元),长期待摊费用(元),递延税款借项合计(元),其他长期资产(元),非流动资产合计(元),资产总计(元),短期借款(元),向中央银行借款(元),吸收存款及同业存放(元),拆入资金(元),交易性金融负债(元),应付票据(元),应付帐款(元),预收帐款(元),卖出回购金融资产款(元),应付手续费及佣金(元),应付职工薪酬(元),应交税金(元),应付利息(元),应付股利(元),其他应付款(元),应付分保账款(元),保险合同准备金(元),代理买卖证券款(元),代理承销证券款(元),一年内到期的长期负债(元),其他流动负债(元),流动负债合计(元),长期借款(元),应付债券(元),长期应付款(元),专项应付款(元),预计负债(元),递延税款贷项合计(元),其他长期负债(元),长期负债合计(元),负债合计(元),股本(元),资本公积(元),库存股(元),盈余公积(元),一般风险准备(元),未分配利润(元),外币报表折算差额(元),归属于母公司所有者权益合计(元),少数股东权益(元),股东权益合计(元),负债和股东权益合计(元)
600000,浦发银行,"0","0","31,253,464,600.64","0","0","0","0","0","0","0","6,537,016,488.97","0","0","391,932,144,049.13","0","0","0","0","1,124,112,990,245.97","104,142,631,561.43","143,556,635,609.56","0","1,436,473,888.52","0","7,433,139,285.57","0","0","0","0","0","405,283,231.8","0","0","0","3,772,722,786.04","0","0","2,191,410,773,622.24","0","50,000,000","0","14,415,145,200","0","0","0","0","16,963,470,641.23","0","6,856,610,395.82","4,178,532,860.55","11,753,812,349.59","0","0","0","0","0","0","0","0","0","0","16,800,000,000","0","0","0","3,720,807,720.97","0","0","2,068,130,923,113.5","14,348,824,165","58,639,172,650.58","0","15,249,813,446.38","9,500,000,000","25,258,526,422.69","0","122,996,336,684.65","283,513,824.09","123,279,850,508.74","2,191,410,773,622.24"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"942,371,175.47","0","0","0","0","805,453,239.04","17,563,470.3","0","0","0","0","0","194,682,441.12","0","31,807,821.58","0","0","1,991,878,147.51","0","174,240,000","0","0","71,400,000","0","8,493,606,648.62","410,837,028.81","0","0","0","0","24,952,979.47","0","0","10,359,334.75","113,233,546.34","0","9,298,629,537.99","11,290,507,685.5","600,000,000","0","0","0","0","22,000,000","73,808,991.74","72,286,219.61","0","0","260,078,400.08","243,379,180.04","5,925,439.59","9,696,379.26","1,801,908,578.89","0","0","0","0","80,000,000","0","4,169,083,189.21","90,000,000","0","0","0","0","24,060,000","0","360,266,550.54","4,529,349,739.75","1,150,000,000","3,258,238,605.6","0","426,551,471.45","0","1,718,644,936.37","0","6,553,435,013.42","207,722,932.33","6,761,157,945.75","11,290,507,685.5"
600005,武钢股份,"2,251,780,526.98","0","0","0","2,592,395,740.3","363,499,661.34","56,939,062.35","0","0","0","0","0","35,613,163.06","0","11,670,626,111.73","0","0","16,970,854,265.76","0","0","0","0","3,631,777,639.93","0","50,733,973,167.1","4,708,231,559.04","0","0","0","0","45,394,662.49","0","0","0","214,679,725.1","0","59,334,056,753.66","76,304,911,019.42","14,135,671,110","0","0","0","0","3,245,814,000","12,814,543,805.58","6,468,074,532.86","0","0","221,124,076.33","-171,727,249.06","90,028,099.45","0","248,443,019.28","0","0","0","0","2,199,922,944.06","15,323,292.55","39,267,217,631.05","1,395,808,592.73","7,289,087,726","0","0","0","0","72,443,590.36","8,757,339,909.09","48,024,557,540.14","7,838,152,333","5,116,853,206.86","0","4,388,243,383.5","0","10,841,588,763.93","0","28,195,965,777.59","84,387,701.69","28,280,353,479.28","76,304,911,019.42"
600006,东风汽车,"4,031,582,337.54","0","0","237,310","5,040,620,287.64","707,546,572.64","276,058,728.38","0","0","0","9,425,203.89","163,091.14","89,596,305.72","0","2,725,024,713.47","0","0","12,880,254,550.42","0","103,450,000","0","0","1,439,754,319.21","20,373,898","2,863,077,005.09","541,032,205.78","0","3,742,884.24","0","0","419,064,014.07","68,082,315.61","309,868,490.5","507,488.88","175,067,352.06","0","5,944,019,973.44","18,824,274,523.86","16,769,408.14","0","0","0","0","4,577,631,907.39","4,686,439,558.16","745,241,323.99","0","0","225,926,378.72","170,770,148.88","0","0","972,900,406.36","0","0","0","0","0","0","11,395,679,131.64","0","0","0","0","41,665,482.46","32,878,915.86","88,815,944.75","163,360,343.07","11,559,039,474.71","2,000,000,000","710,438,857.73","0","676,550,652.97","0","2,505,708,621.01","0","5,892,698,131.71","1,372,536,917.44","7,265,235,049.15","18,824,274,523.86"
600007,中国国贸,"241,638,229","0","0","0","0","81,337,162","32,707,892","0","0","0","0","0","7,804,097","0","25,902,222","0","0","389,389,602","0","0","0","0","4,213,198","5,631,719,782","1,501,879,137","250,842,811","0","0","0","0","1,317,917,570","0","0","290,519,321","22,074,458","0","9,019,166,277","9,408,555,879","0","0","0","0","0","0","24,329,383","48,967,268","0","0","38,199,329","16,262,641","5,236,677","0","658,752,958","0","0","0","0","0","0","791,748,256","3,276,030,000","1,000,000,000","0","0","0","0","0","4,276,030,000","5,067,778,256","1,007,282,534","1,872,518,599","0","399,395,584","0","1,060,249,894","0","4,339,446,611","1,331,012","4,340,777,623","9,408,555,879"
600008,首创股份,"2,055,789,047.39","0","0","10,052,705.49","1,000,000","586,946,823.35","1,369,606,945.87","0","0","0","0","20,000,000","545,536,516.91","0","1,898,903,077.49","5,000,000","0","6,492,835,116.5","0","2,403,900.64","362,971,000","40,000,000","1,103,114,113.2","0","3,925,404,974.97","228,603,588.61","228,884.32","0","0","0","4,598,676,824.05","0","41,995,660.82","11,456,825.7","33,357,075.31","0","10,348,212,847.62","16,841,047,964.12","803,542,971.09","0","0","0","0","20,056,559.24","1,041,525,569.61","845,723,722.2","0","0","117,059,973.16","115,541,124.82","23,097,010.68","23,890,580.54","967,447,218.64","0","0","0","0","483,108,979.87","801,344,315.13","5,242,338,024.98","3,112,370,682.1","0","113,150,385.51","57,395,122.16","365,532,004.21","8,507,117.08","25,202,596.66","3,682,157,907.72","8,924,495,932.7","2,200,000,000","1,634,824,705.86","0","545,504,658.19","0","769,678,523.11","-19,508,610.48","5,130,499,276.68","2,786,052,754.74","7,916,552,031.42","16,841,047,964.12"
600009,上海机场,"1,409,053,694.47","0","0","0","80,918,333.41","1,054,925,433.2","6,912,520.18","0","0","0","0","4,942,557.18","7,783,541.1","0","18,369,959.11","0","0","2,582,906,038.65","0","0","0","0","1,446,265,340.26","0","12,840,778,293.23","193,065,928.41","0","0","0","0","379,745,847.24","0","0","4,993,101.77","54,013,753.95","0","14,918,862,264.86","17,501,768,303.51","0","0","0","0","0","0","77,531,145.86","6,526,255.71","0","0","197,373,461.82","100,458,970.05","40,958,900.11","0","389,287,085.9","0","0","0","0","0","0","812,135,819.45","0","2,484,245,367.89","0","0","0","0","0","2,484,245,367.89","3,296,381,187.34","1,926,958,448","2,575,497,907.54","0","1,309,796,168","0","8,241,244,341.97","0","14,053,496,865.51","151,890,250.66","14,205,387,116.17","17,501,768,303.51"
