股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600000,浦发银行,"0","313,685,039,000","0","143,674,666,000","0","0","0","0","123,871,358,000","0","0","0","9,659,027,000","590,890,090,000","0","185,455,450,000","118,816,718,000","0","51,035,083,000","0","12,181,022,000","11,850,867,000","7,033,603,000","392,234,312,000","198,655,778,000","233,593,148,000","49,510,000","0","0","70,671,000","233,713,329,000","2,682,867,000","296,387,027,000","0","0","0","299,069,894,000","-65,356,565,000","298,900,000","298,900,000","0","18,400,000,000","0","18,698,900,000","2,600,000,000","3,004,712,000","0","0","5,604,712,000","13,094,188,000","-1,361,852,000","145,031,549,000","312,627,228,000"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"4,208,520,955.93","0","0","0","0","0","0","0","0","0","0","302,802.59","50,111,754.34","4,258,935,512.86","1,080,771,340.37","0","0","0","0","0","1,248,008,345.24","505,380,238.9","114,652,241.47","2,948,812,165.98","1,310,123,346.88","0","4,162,400","709,504.19","0","50,000,000","54,871,904.19","846,141,915.25","0","0","0","0","846,141,915.25","-791,270,011.06","0","0","0","1,500,000,000","0","1,500,000,000","685,000,000","405,538,856.88","19,994,227.88","8,202,816.09","2,098,741,672.97","-598,741,672.97","-525,733.23","-80,414,070.38","838,406,546.82"
600005,武钢股份,"94,957,241,154.52","0","0","0","0","0","0","0","0","0","0","29,491,767.54","98,535,791","95,085,268,713.06","85,722,539,030.59","0","0","0","0","0","4,656,709,834.45","2,813,771,036.83","1,136,952,052.47","94,329,971,954.34","755,296,758.72","0","109,690,083.07","140,898.4","0","0","109,830,981.47","6,757,586,757.94","4,454,095,123.29","0","0","0","11,211,681,881.23","-11,101,850,899.76","8,338,188,953.29","49,953,410.11","24,645,968,532.37","0","0","32,984,157,485.66","22,009,353,332.37","2,298,465,156.64","2,098,136.85","24,347,200","24,332,165,689.01","8,651,991,796.65","-3,183,382.54","-1,697,745,726.93","1,781,287,802.32"
600006,东风汽车,"18,619,908,348.49","0","0","0","0","0","0","0","0","0","0","148,560,511.05","499,393,969.24","19,267,862,828.78","16,368,624,531.45","0","0","0","0","0","1,098,246,040.49","983,839,480.43","1,434,146,848.95","19,884,856,901.32","-616,994,072.54","492,186,724.28","758,831,933.03","391,505,947.96","0","57,164,034.24","1,699,688,639.51","549,491,341.07","679,401,494.17","0","5,326,902","83,670,555.98","1,317,890,293.22","381,798,346.29","800,000","0","198,295,112.02","0","610,594,025.29","809,689,137.31","214,723,246.36","238,456,990.66","0","771,928,462.99","1,225,108,700.01","-415,419,562.7","-2,050,917.11","-652,666,206.06","2,630,830,084.66"
600007,中国国贸,"1,602,163,835","0","0","0","0","0","0","0","0","0","0","0","142,790,225","1,744,954,060","247,532,288","0","0","0","0","0","206,633,926","222,549,586","219,542,267","896,258,067","848,695,993","480,000,000","0","132,555","0","2,475,671","482,608,226","245,554,251","480,000,000","0","0","0","725,554,251","-242,946,025","0","0","90,000,000","0","0","90,000,000","190,000,000","326,162,053","550,000","0","516,162,053","-426,162,053","-230,283","179,357,632","420,995,861"
600008,首创股份,"3,328,115,944.49","0","0","0","0","0","0","0","0","0","0","0","346,517,765.06","3,674,633,709.55","1,826,596,506.85","0","0","0","0","0","555,300,073.28","320,748,310.63","440,718,947.85","3,143,363,838.61","531,269,870.94","420,416,641.6","43,463,259.24","471,434.24","0","59,904,176.07","524,255,511.15","505,721,599.28","749,090,411.69","0","68,898,602.47","0","1,323,710,613.44","-799,455,102.29","76,400,000","9,500,000","3,265,404,595.52","2,000,000,000","14,657,388.92","5,356,461,984.44","3,383,466,306.11","591,781,599.91","750,693.69","13,153,277.46","3,988,401,183.48","1,368,060,800.96","-4,409,457.29","1,095,466,112.32","3,131,770,559.89"
600009,上海机场,"4,764,605,389.99","0","0","0","0","0","0","0","0","0","0","0","65,679,240.67","4,830,284,630.66","675,355,346.74","0","0","0","0","0","1,009,139,570.86","515,885,339.74","308,273,128","2,508,653,385.34","2,321,631,245.32","0","351,317,454.15","18,380","0","0","351,335,834.15","207,047,657.02","0","0","0","0","207,047,657.02","144,288,177.13","0","0","0","0","0","0","0","459,886,095.46","137,190,250.66","0","459,886,095.46","-459,886,095.46","-13,500.21","2,006,019,826.78","3,415,073,521.25"
600010,包钢股份,"40,056,406,532.44","0","0","0","0","0","0","0","0","0","0","311,435,340.1","195,773,233.49","40,563,615,106.03","33,317,871,623.34","0","0","0","0","0","3,005,333,409.21","1,338,212,765.79","28,658,789.97","37,690,076,588.31","2,873,538,517.72","10,000,000","18,539,483.23","1,449,770","0","0","29,989,253.23","4,131,100,611.89","75,000,000","0","244,821,862.66","612,500,000","5,063,422,474.55","-5,033,433,221.32","86,300,000","86,300,000","5,777,500,000","2,000,000,000","0","7,863,800,000","4,018,588,882.32","921,721,950.43","0","18,581,086.69","4,958,891,919.44","2,904,908,080.56","0","745,013,376.96","2,849,191,820.77"
600011,华能国际,"145,161,067,835","0","0","0","0","0","0","0","0","0","0","95,709,637","1,759,582,274","147,016,359,746","115,106,590,675","0","0","0","0","0","4,868,706,814","5,052,460,973","1,039,446,294","126,067,204,756","20,949,154,990","104,258,357","447,654,442","85,600,618","0","68,110,507","705,623,924","16,788,659,327","1,809,760,622","0","3,772,034,546","0","22,370,454,495","-21,664,830,571","219,214,600","219,214,600","86,395,238,695","14,944,600,000","229,429,000","101,788,482,295","90,494,384,648","11,072,171,475","120,129,376","152,278,298","101,718,834,421","69,647,874","-227,627,571","-873,655,278","8,552,782,233"
600012,皖通高速,"2,216,415,959.44","0","0","0","0","0","0","0","0","0","0","0","6,332,056.02","2,222,748,015.46","168,392,331.36","0","0","0","0","0","160,131,326.26","334,965,736.84","10,851,419.87","674,340,814.33","1,548,407,201.13","0","3,990,000","3,621,253.6","0","13,011,529.48","20,622,783.08","929,793,628.68","300,000,000","0","0","50,000,000","1,279,793,628.68","-1,259,170,845.6","0","0","211,000,000","0","0","211,000,000","120,000,000","538,941,298.98","71,011,869.2","0","658,941,298.98","-447,941,298.98","0","-158,704,943.45","597,802,043.11"
600015,华夏银行,"0","170,466,850,473.94","0","46,546,252,567.12","0","0","0","0","34,912,462,061.65","0","0","0","393,706,782.45","252,319,271,885.16","0","83,828,100,313.95","71,112,451,536.76","0","0","0","5,853,328,157.45","5,437,413,841.63","6,642,061,858.92","173,292,118,817.27","79,027,153,067.89","75,071,459,490.66","0","0","0","47,318,256.89","75,118,777,747.55","2,832,654,695.29","119,967,596,883.75","0","0","0","122,800,251,579.04","-47,681,473,831.49","20,136,640,469.25","30,000,000","0","0","0","20,136,640,469.25","2,000,000,000","998,105,663.2","0","1,041,650,993.76","4,039,756,656.96","16,096,883,812.29","-7,468,645.35","47,435,094,403.34","125,866,517,509.64"
600016,民生银行,"0","299,506,000,000","0","5,475,000,000","0","0","0","0","125,774,000,000","0","29,921,000,000","0","36,348,000,000","497,024,000,000","0","148,511,000,000","78,658,000,000","0","46,751,000,000","0","13,467,000,000","15,382,000,000","63,947,000,000","396,098,000,000","100,926,000,000","107,974,000,000","5,911,000,000","843,000,000","0","0","114,728,000,000","0","121,836,000,000","0","0","6,761,000,000","128,597,000,000","-13,869,000,000","2,904,000,000","2,904,000,000","0","9,975,000,000","0","12,879,000,000","0","3,592,000,000","0","0","3,592,000,000","9,287,000,000","-299,000,000","96,045,000,000","268,262,000,000"
