股票代码,简称,营业总收入(元),营业收入(元),金融资产利息收入(元),已赚保费(元),手续费及佣金收入(元),营业总成本(元),营业成本(元),金融资产利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),营业税金及附加(元),销售费用(元),管理费用(元),财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),营业利润(元),营业外收入(元),营业外支出(元),非流动资产处置净损失(元),利润总额(元),所得税(元),净利润(元),归属于母公司所有者的净利润(元),少数股东损益(元),基本每股收益(元),稀释每股收益(元)
600886,国投电力,"21,703,539,229.47","21,703,539,229.47","0","0","0","20,913,111,324.72","18,002,874,363.05","0","0","0","0","0","0","0","143,245,951.97","33,250,545.01","560,265,677.49","2,161,367,333.03","12,107,454.17","0","75,131,555.75","71,117,014.46","0","865,559,460.5","110,445,884.38","7,256,069.43","5,391,502.01","968,749,275.45","296,451,415.79","672,297,859.66","259,256,058.41","413,041,801.25","0.1281","0.1281"
600887,伊利股份,"37,451,372,248.72","37,451,372,248.72","0","0","0","35,959,190,702.92","26,485,666,175.08","0","0","0","0","0","0","0","232,922,278.65","7,290,955,387.27","1,970,693,655.02","-49,159,439.17","28,112,646.07","0","253,824,700.61","-1,571,932.16","0","1,746,006,246.41","421,321,005.72","30,911,032.14","23,478,465.2","2,136,416,219.99","303,978,871.28","1,832,437,348.71","1,809,219,539.77","23,217,808.94","1.13","1.06"
600888,新疆众和,"2,002,582,959.26","2,002,582,959.26","0","0","0","1,726,467,059.58","1,518,559,418.46","0","0","0","0","0","0","0","5,019,136.06","61,621,786.25","97,070,316.09","43,979,453.61","216,949.11","0","770,674.8","0","0","276,886,574.48","24,066,036.67","2,161,240.96","2,159,103.66","298,791,370.19","22,633,972.36","276,157,397.83","276,157,397.83","0","0.7238","0.7238"
600889,南京化纤,"1,501,264,153.93","1,501,264,153.93","0","0","0","1,472,770,925.97","1,281,430,924.49","0","0","0","0","0","0","0","40,216,765.9","6,905,124.39","86,040,399.52","54,005,759.09","4,171,952.58","-946,000","27,574,427.26","0","0","55,121,655.22","5,623,083.53","2,969,959.04","0","57,774,779.71","22,595,377.82","35,179,401.89","15,343,651.06","19,835,750.83","0.05","0.05"
600890,中房股份,"12,544,392.64","12,544,392.64","0","0","0","16,640,549.38","9,053,746.56","0","0","0","0","0","0","0","2,480,960.18","124,308.15","23,707,522.21","-2,253,689.44","-16,472,298.28","0","21,877,280.06","-371,445.39","0","17,781,123.32","30,114,145.32","8,462.48","0","47,886,806.16","547,492.62","47,339,313.54","46,399,908.96","939,404.58","0.0801","0.0801"
600891,秋林集团,"582,618,837.5","582,618,837.5","0","0","0","524,482,654.7","478,451,959.63","0","0","0","0","0","0","0","5,668,294.71","4,194,684.38","49,355,494.37","-1,467,154.91","-11,720,623.48","0","1,039,964.06","0","0","59,176,146.86","3,446,808.58","21,785,651.35","95,051.3","40,837,304.09","14,314,723.22","26,522,580.87","26,992,958.92","-470,378.05","0.08","0.08"
600892,宝诚股份,"656,682,041","656,682,041","0","0","0","649,302,956.02","622,975,326.36","0","0","0","0","0","0","0","1,299,639.1","5,138,262.08","10,190,583.08","8,173,757.32","1,525,388.08","0","34,223.41","0","0","7,413,308.39","33,978.36","740,050.56","614,621.57","6,707,236.19","1,426,929.31","5,280,306.88","4,582,575.12","697,731.76","0.07","0.07"
600893,航空动力,"6,805,960,553.53","6,805,960,553.53","0","0","0","6,503,805,141.83","5,824,201,930.76","0","0","0","0","0","0","0","8,526,027.71","84,871,222.17","447,192,105.22","118,078,349.83","20,935,506.14","0","-4,908,610.71","-4,908,610.71","0","297,246,800.99","13,670,999.48","6,536,702.48","5,317,669.07","304,381,097.99","51,632,301.47","252,748,796.52","259,145,861.02","-6,397,064.5","0.24","0.24"
600894,广日股份,"6,181,009,421.36","6,181,009,421.36","0","0","0","6,899,197,013.1","6,482,304,143.89","0","0","0","0","0","0","0","14,795,546.57","32,966,960.21","85,203,379.36","121,144,794.1","162,782,188.97","0","19,699,069.57","19,699,069.57","0","-698,488,522.17","12,209,571.13","2,905,127.55","97,196.01","-689,184,078.59","30,346.16","-689,214,424.75","-688,995,017.63","-219,407.12","-0.904","-0.904"
600895,张江高科,"1,795,519,891.35","1,795,519,891.35","0","0","0","1,401,367,235.36","743,602,963.79","0","0","0","0","0","0","0","114,379,991.68","43,195,720.05","99,863,557.23","398,638,358.94","1,686,643.67","-1,804,630.53","184,365,557.72","169,300,816.69","0","576,713,583.18","1,481,103.87","816,985.62","186","577,377,701.43","107,261,270.56","470,116,430.87","466,965,659.91","3,150,770.96","0.3","0.3"
