股票代码,简称,国家持有的有限售条件流通股份数,国有法人持有的有限售条件流通股份数,其他有限售条件的内资流通股份数,境内法人持有的有限售条件流通股份数,境内自然人持有的有限售条件流通股份数,有限售条件的外资流通股份数,境外法人持有的有限售条件流通股份数,境外自然人持有的有限售条件流通股份数,其他有限售股流通股数,有限售条件流通股数,无限售条件人民币普通股数,无限售条件境内上市的外资股数,无限售条件境外上市的外资股数,其他无限售条件已上市流通股份数,无限售条件流通股份合计,股份总数,国家持有的有限售条件流通股份占总股本比例(%),国有法人持有的有限售条件流通股份占总股本比例(%),其他有限售条件的内资流通股份占总股本比例(%),境内法人持有的有限售条件流通股份占总股本比例(%),境内自然人持有的有限售条件流通股份占总股本比例(%),有限售条件的外资流通股份占总股本比例(%),境外法人持有的有限售条件流通股份占总股本比例(%),境外自然人持有的有限售条件流通股份占总股本比例(%),其他有限售股流通股份占总股本比例(%),有限售条件流通股占总股本比例(%),无限售条件人民币普通股占总股本比例(%),无限售条件境内上市的外资股占总股本比例(%),无限售条件境外上市的外资股占总股本比例(%),其他无限售条件已上市流通股份占总股本比例(%),无限售条件流通股占总股本比例(%),股份总数占总股本比例(%)
600000,浦发银行,"0","0","2,869,764,833","2,869,764,833","0","0","0","0","0","2,869,764,833","11,479,059,332","0","0","0","11,479,059,332","14,348,824,165","-","-",20.0,20.0,"-","-","-","-","-",20.0,80.0,"-","-","-",80.0,100.0
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"0","0","0","0","0","0","0","0","0","0","1,150,000,000","0","0","0","1,150,000,000","1,150,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600005,武钢股份,"0","4,702,800,000","0","0","0","0","0","0","0","4,702,800,000","3,135,352,333","0","0","0","3,135,352,333","7,838,152,333","-",60.0,"-","-","-","-","-","-","-",60.0,40.0,"-","-","-",40.0,100.0
600006,东风汽车,"0","0","0","0","0","0","0","0","0","0","2,000,000,000","0","0","0","2,000,000,000","2,000,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600007,中国国贸,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600008,首创股份,"0","0","0","0","0","0","0","0","0","0","2,200,000,000","0","0","0","2,200,000,000","2,200,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600009,上海机场,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600010,包钢股份,"0","3,702,991,462","0","0","0","0","0","0","0","3,702,991,462","2,720,652,197","0","0","0","2,720,652,197","6,423,643,659","-",57.65,"-","-","-","-","-","-","-",57.65,42.35,"-","-","-",42.35,100.0
600011,华能国际,"1,555,124,549","5,292,328,724","774,333,394","774,333,394","0","0","0","0","0","7,621,786,667","2,878,213,333","0","3,555,383,440","0","6,433,596,773","14,055,383,440",11.06,37.66,5.51,5.51,"-","-","-","-","-",54.23,20.47,"-",25.3,"-",45.77,100.0
600012,皖通高速,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600015,华夏银行,"0","523,154,855","0","0","0","683,373,461","683,373,461","0","0","1,206,528,316","3,784,000,000","0","0","0","3,784,000,000","4,990,528,316","-",10.48,"-","-","-",13.69,13.69,"-","-",24.18,75.82,"-","-","-",75.82,100.0
600016,民生银行,"0","0","0","0","0","0","0","0","0","0","22,587,602,387","0","4,127,130,600","0","26,714,732,987","26,714,732,987","-","-","-","-","-","-","-","-","-","-",84.55,"-",15.45,"-",100.0,100.0
600017,日照港,"0","0","0","0","0","0","0","0","0","0","2,265,153,060","0","0","0","2,265,153,060","2,265,153,060","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600018,上港集团,"0","0","0","0","0","0","0","0","0","0","20,990,800,132","0","0","0","20,990,800,132","20,990,800,132","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600019,宝钢股份,"0","0","0","0","0","0","0","0","0","0","17,512,048,088","0","0","0","17,512,048,088","17,512,048,088","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600020,中原高速,"0","749,853,993","0","0","0","0","0","0","0","749,853,993","1,390,500,132","0","0","0","1,390,500,132","2,140,354,125","-",35.03,"-","-","-","-","-","-","-",35.03,64.97,"-","-","-",64.97,100.0
600021,上海电力,"0","0","0","0","0","0","0","0","0","0","2,139,739,257","0","0","0","2,139,739,257","2,139,739,257","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600022,山东钢铁,"0","0","0","0","0","0","0","0","0","0","3,120,480,000","0","0","0","3,120,480,000","3,120,480,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
