股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600033,福建高速,"福建发展高速公路股份有限公司","黄祥谈","福建省福州市东水路18号福建交通综合大楼26层","350001","www.fjgs.com.cn","-","-","-","139,266","0","1","0","2,625,118,114.54","0","0","543,821,436.31","551,242,726.71","1,826,377,547.52","19,210,876,320.05","7,508,951,416.44","0.2","0.2","0.2","0","7.4","0","7.5","0","0"
600035,楚天高速,"湖北楚天高速公路股份有限公司","肖跃文","湖北省武汉市汉阳区龙阳大道9号","430074","www.hbctgs.com","-","-","-","46,504","0","0.9","3","1,010,872,885","0","0","255,333,155.93","255,105,639.27","629,800,169.94","13,100,885,876.31","3,522,341,055","0.27","0.27","0.27","0","7.44","0","7.43","0","0"
600036,招商银行,"招商银行股份有限公司","傅育宁","中国广东省深圳市福田区深南大道7088号","518040","www.cmbchina.com","-","-","-","522,003","0","6.2","0","132,604,000,000","0","0","51,743,000,000","51,342,000,000","119,153,000,000","4,016,399,000,000","265,465,000,000","2.3","2.3","2.28","0","23.12","0","22.94","0","0"
600037,歌华有线,"北京歌华有线电视网络股份有限公司","郭章鹏","北京市海淀区花园北路35号（东门）","100007","www.bgctv.com.cn","-","-","-","112,319","0","1","0","2,249,613,733.69","0","0","376,746,156.31","-66,167,799.42","1,031,293,157.11","10,317,663,301.85","5,778,402,816.2","0.36","0.36","-0.06","0","6.69","0","-1.17","0","0"
600038,哈飞股份,"哈飞航空工业股份有限公司","郭殿满","哈尔滨市高新技术开发区集中开发区34号楼","150066","www.hafei.com","-","-","-","22,153","0","1.3","0","10,830,674,602.47","0","0","247,232,896.22","173,254,443.82","231,033,233.81","20,730,110,890.27","5,892,068,698.66","0.49","0.49","0.44","0","5.99","0","7.13","0","0"
600039,四川路桥,"四川路桥建设股份有限公司","孙云","四川省成都市高朋大道11号科技工业园F-59号","610041","www.scrbc.com.cn","-","-","-","54,117","0","0.5","0","25,426,913,115.19","0","0","512,924,041","513,902,717.51","1,878,673,938.23","44,266,290,590.78","6,504,306,052.94","0.49","0.49","0.49","0","12.75","0","12.78","0","0"
600048,保利地产,"保利房地产（集团）股份有限公司","宋广菊","广州市海珠区阅江中路688号保利国际广场29-33层","510308","www.polycn.com;www.gzpoly.com","-","-","-","156,255","0","2.94","5","92,355,524,195.85","0","0","10,747,161,554.27","10,684,959,096.49","-9,754,106,777.99","313,939,854,320.52","51,762,869,363.42","1.51","1.51","1.5","0","22.95","0","22.81","0","0"
600050,中国联通,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600051,宁波联合,"宁波联合集团股份有限公司","李水荣","宁波开发区东海路1号联合大厦","315803","http://www.nug.com.cn","-","-","-","35,238","0","1.6","0","2,823,462,066.07","0","0","60,027,573.55","-37,893,982.09","-724,228,291.28","7,729,911,620.04","1,778,187,020.18","0.2","0.2","-0.13","0","3.28","0","-2.07","0","0"
600052,浙江广厦,"浙江广厦股份有限公司","杜鹤鸣","浙江省东阳市振兴路1号西侧","310013","http://www.gsgf.com","-","-","-","57,029","0","0.4","0","1,920,829,564.18","0","0","55,772,996.32","61,414,210.48","135,660,502.17","10,162,660,641.48","1,828,075,949.8","0.06","0.06","0.07","0","3.05","0","3.36","0","0"
600053,中江地产,"江西中江地产股份有限公司","钟虹光","江西省南昌市湾里区翠岩路1号","330077","www.jzjt.com","-","-","-","14,612","0","0.2","0","604,881,162.44","0","0","25,570,568.17","25,173,627.94","450,996,772.93","2,828,016,671.69","809,921,356.22","0.06","0.06","0.06","0","3.19","0","3.14","0","0"
600054,黄山旅游,"黄山旅游发展股份有限公司","黄林沐","安徽省黄山市黄山风景区温泉","245800","http://www.huangshan.com.cn或tourmart.cn","-","-","-","52,577","0","0.4","0","1,294,090,283.92","0","0","143,808,053.42","142,421,720.2","240,721,955.85","3,355,068,453.93","2,030,717,280.79","0.31","0.31","0.3","0","7.32","0","7.25","0","0"
600055,华润万东,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600056,中国医药,"中国医药健康产业股份有限公司","张本智先生","北京市东城区光明中街18 号","100061","http://www.meheco.cn","-","-","-","41,758","10","2.87","0","14,829,508,156.28","0","0","484,832,049.27","433,274,838.69","-14,238,322.55","12,790,481,396.71","3,437,603,647.29","1.06","1.06","1.13","0","16.07","0","14.36","0","0"
600057,象屿股份,"厦门象屿股份有限公司","王龙雏","厦门市现代物流园区象屿路99号厦门国际航运中心E栋7层08单元","361006","www.xiangyu.cn","-","-","-","48,649","0","0","0","35,402,328,040.64","0","0","241,435,352.88","-122,604,428.13","-4,680,277,177.73","13,206,405,938.57","1,807,779,403.66","0.28","0.28","-0.14","0","14.38","0","-7.3","0","0"
600058,五矿发展,"五矿发展股份有限公司","周中枢","北京市海淀区三里河路5号B座","100044","www.minlist.com.cn","-","-","-","121,968","0","1.05","0","203,259,150,042.45","0","0","279,784,340.29","120,685,860.88","-3,092,308,615.8","46,172,743,887.56","8,541,738,699.09","0.26","0.26","0.11","0","3.33","0","1.44","0","0"
600059,古越龙山,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600060,海信电器,"青岛海信电器股份有限公司","于淑珉","青岛市经济技术开发区前湾港路218号","266555","www.hisense.com","-","-","-","70,928","0","3.65","0","28,479,859,095.63","0","0","1,582,879,067.44","1,484,302,760.33","1,314,957,642.46","19,867,136,531.26","9,888,056,226.72","1.21","1.21","1.14","0","17.03","0","15.97","0","0"
600061,中纺投资,"中纺投资发展股份有限公司","张嵩林","上海浦东新区浦东南路500号国家开发银行大厦4202室","200052","http://www.sinotex-ctrc.com.cn","-","-","-","30,507","0","0","0","4,356,238,867.09","0","0","6,356,591.85","3,964,425.05","-48,568,201.08","2,047,326,673.04","596,420,003.78","0.01","0.01","0.01","0","1.07","0","0.67","0","0"
600062,华润双鹤,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600063,皖维高新,"安徽皖维高新材料股份有限公司","吴福胜","安徽省巢湖市皖维路56号","238002","http://www.wwgf.com.cn","-","-","-","73,516","0","0.05","0","3,573,058,832.97","0","0","20,298,258.88","-29,620,662.38","351,826,762.01","6,219,301,181.78","2,415,760,597.6","0.01","0.01","-0.02","0","0.84","0","-1.22","0","0"
600064,南京高科,"南京高科股份有限公司","徐益民","南京经济技术开发区新港大道129号","210038","www.600064.com","-","-","-","51,101","0","2.6","0","3,502,006,870.57","0","0","430,469,705.33","356,063,198.46","909,801,975.66","15,561,918,254.83","4,972,093,765.61","0.83","0.83","0.69","0","8.5","0","7.03","0","0"
600065,*ST联谊,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600066,宇通客车,"郑州宇通客车股份有限公司","汤玉祥","郑州市管城区宇通路","450016","http://www.yutong.com","-","-","-","42,276","0","5","0","22,093,826,571.04","0","0","1,822,575,190.67","1,610,157,388.04","1,936,967,616.95","16,197,573,484.1","8,747,061,907.92","1.43","1.43","1.27","0","22.8","0","20.15","0","0"
600067,冠城大通,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600068,葛洲坝,"中国葛洲坝集团股份有限公司","聂凯","湖北省武汉市解放大道558号葛洲坝大酒店","430033","http://www.cggc.cn","-","-","-","279,904","0","1.04","0","59,527,557,416.23","0","0","1,584,737,039.67","1,520,205,808.71","4,697,564,283.84","85,824,718,249.76","13,649,523,032.16","0.45","0.45","0.44","0","12.14","0","11.64","0","0"
600069,银鸽投资,"河南银鸽实业投资股份有限公司","王伟","河南省漯河市银鸽路中段","462000","http://www.yinge.com.cn","-","-","-","73,959","0","0","0","3,514,959,659.12","0","0","-278,647,676.13","-311,788,840.54","-119,639,488.99","6,091,292,213.03","1,576,135,972.19","-0.34","-0.34","-0.38","0","-16.3","0","-18.24","0","0"
600070,浙江富润,"浙江富润股份有限公司","赵林中","浙江省诸暨市暨阳街道苎萝东路60号","311800","www.furun.net","-","-","-","18,795","0","3","5","1,072,373,157.47","0","0","122,469,826.8","29,082,681.94","70,285,722.39","1,769,449,118.33","864,216,487.45","0.67","0.67","0.16","0","15.13","0","3.59","0","0"
600071,凤凰光学,"凤凰光学股份有限公司","罗小勇","江西省上饶市光学路1号","334000","http://www.phenixoptics.com.cn","-","-","-","27,176","0","0","0","697,782,714.65","0","0","-28,230,239.78","-28,605,940.06","12,139,421.46","932,340,468","593,167,957.95","-0.12","-0.12","-0.12","0","-4.65","0","-4.71","0","0"
600072,中船股份,"中船钢构工程股份有限公司","周辉","上海市上川路361号","201913","www.jnhi.com","-","-","-","90,976","0","0","0","921,151,213.49","0","0","-182,346,507.77","-186,330,713.68","-54,024,725.66","2,146,986,640.87","1,139,849,895.99","-0.38","-0.38","-0.39","0","-14.82","0","-15.14","0","0"
600073,上海梅林,"上海梅林正广和股份有限公司","周海鸣","上海市浦东新区川桥路1501号","200040","http://www.shanghaimaling.com","-","-","-","53,674","0","0.6","0","10,376,481,447.41","0","0","155,317,122.45","129,194,019.78","207,004,242.11","5,559,362,489.11","1,983,252,442.48","0.19","0.19","0.16","0","8.07","0","6.71","0","0"
600074,*ST中达,"江苏中达新材料集团股份有限公司","童爱平","南京市经济技术开发区(新港高新技术工业园)","214443","http://www.jszdzm.com","-","-","-","42,557","0","0","0","1,401,501,128.46","0","0","237,963,326.8","-551,449,906.22","21,455,042.86","1,403,135,176.02","93,812,956.98","0.27","0.27","-0.62","0","0","0","0","0","0"
600075,新疆天业,"新疆天业股份有限公司","吴彬","新疆石河子市经济技术开发区北三东路36号","832000","http://www.xj-tianye.com","-","-","-","58,770","0","0","0","3,941,109,111.37","0","0","-215,672,315.49","-231,928,098.84","403,287,091","4,502,549,378.45","1,502,710,513.78","-0.49","-0.49","-0.53","0","-13.39","0","-14.4","0","0"
600076,青鸟华光,"潍坊北大青鸟华光科技股份有限公司","周燕军","山东省潍坊市高新技术产业开发区北宫东街6号","261061","www.hg.com.cn","-","-","-","28,555","0","0","0","13,667,521.36","0","0","52,090,532.94","-20,691,807.12","-34,041,966.4","558,333,928.72","138,103,444.21","0.14","0.14","-0.06","0","46.49","0","-18.47","0","0"
600077,宋都股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600078,澄星股份,"江苏澄星磷化工股份有限公司","李兴","江苏省江阴市梅园大街618号","214432","无","-","-","-","79,676","0","0.15","0","2,460,190,405.06","0","0","23,623,827.28","-10,700,295.28","409,911,302.06","4,882,733,347.85","1,755,118,698.38","0.04","0.04","-0.02","0","1.35","0","-0.61","0","0"
600079,人福医药,"人福医药集团股份有限公司","王学海","武汉市东湖高新区高新大道666号","430075","www.humanwell.com.cn","-","-","-","18,327","0","0","0","6,010,211,397.82","0","0","417,780,076.54","395,524,806.29","498,216,711.17","9,707,005,027.6","4,342,236,036.03","0.83","0.83","0.78","0","11.92","0","11.28","0","0"
600080,金花股份,"金花企业（集团）股份有限公司","吴一坚","西安市高新技术产业开发区科技四路202号","710065","http://www.ginwa.com.cn","-","-","-","28,137","0","0.3","0","471,099,599.4","0","0","45,594,449.31","39,246,510.95","43,959,626.5","1,185,059,115.75","996,802,461.33","0.15","0.15","0.13","0","4.66","0","4","0","0"
600081,东风科技,"东风电子科技股份有限公司","高大林","上海市闵行区浦江镇新骏环路88号13幢203 室","200063","http://www.detc.com.cn","-","-","-","26,458","0","1.66","0","3,082,697,718.8","0","0","171,104,349.53","168,539,703.62","229,335,580.63","2,636,769,478.95","837,939,714.85","0.55","0.55","0.54","0","21.97","0","21.64","0","0"
600082,海泰发展,"天津海泰科技发展股份有限公司","宋克新","天津新技术产业园区华苑产业区","300384","www.hitech-develop.com","-","-","-","70,596","0","0","0","869,842,884.84","0","0","40,491,249.21","37,786,415.14","-270,115,755","3,134,984,446.18","1,704,983,589.68","0.06","0.06","0.06","0","2.4","0","2.24","0","0"
600083,博信股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600084,中葡股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600085,同仁堂,"北京同仁堂股份有限公司","梅群","北京经济技术开发区西环南路8号","100062","http://www.tongrentang.com","-","-","-","70,960","0","2","0","8,714,647,401.68","0","0","656,013,728.53","633,345,695.08","676,398,667.36","11,911,900,010.52","5,017,972,105.22","0.5","0.49","0.48","0","14.91","0","14.39","0","0"
600086,东方金钰,"东方金钰股份有限公司","赵兴龙","湖北省鄂州市武昌大道298号","518020","http://www.goldjade.cn","-","-","-","32,343","0","0","0","5,928,023,627.87","0","0","157,161,763.87","78,818,538.88","-318,855,603.55","5,175,421,876.19","892,720,096.17","0.45","0.45","0.22","0","19.3","0","9.68","0","0"
600087,*ST长油,"中国长江航运集团南京油运股份有限公司","朱宁","南京经济技术开发区新港大道82号金融楼东1幢2楼","210003","http://www.njtc.com.cn","-","-","-","149,385","0","0","0","7,306,808,610.75","0","0","-5,921,581,446.19","-5,921,910,578.36","843,912,001.05","13,774,235,424.3","-2,097,207,873.62","-1.74","-1.74","-1.74","0","-734.51","0","-734.55","0","0"
600088,中视传媒,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600089,特变电工,"特变电工股份有限公司","张新","新疆维吾尔自治区昌吉市延安南路52号","831100","http://www.tbea.com.cn ","-","-","-","264,283","0","1.6","0","29,174,688,011.17","0","0","1,328,375,843.32","1,099,267,181.87","1,779,688,282.72","50,660,183,302.82","14,601,433,482.73","0.5","0.5","0.42","0","9.4","0","7.78","0","0"
600090,啤酒花,"新疆啤酒花股份有限公司","王克勤","新疆乌鲁木齐经济技术开发区上海路130号","830026","www.xjhops.com","-","-","-","60,275","0","0","0","1,307,258,426.93","0","0","107,107,126.27","57,084,855.04","215,015,877.81","1,303,599,001.5","541,557,175.26","0.29","0.29","0.16","0","21.95","0","11.7","0","0"
600091,ST明科,"包头明天科技股份有限公司","李国春","包头稀土高新技术产业开发区曙光路22号","041030","http://www.tomotech.com","-","-","-","26,167","0","0","0","25,528,991.07","0","0","-110,344,374.22","-121,518,963.47","-87,456,792.17","1,307,925,404.45","448,576,747.17","-0.33","-0.33","-0.36","0","-21.9","0","-24.12","0","0"
600092,S*ST精密,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600093,禾嘉股份,"四川禾嘉股份有限公司","冷天辉","四川省成都市高新技术产业开发区九兴大道3号","610041","http://www.hejia.com","-","-","-","38,604","0","0","0","388,492,901.55","0","0","51,692,334.24","37,038,744.25","33,435,982.75","701,116,156.03","423,688,954.43","0.16","0.16","0.12","0","12.99","0","9.31","0","0"
600094,大名城,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600095,哈高科,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600096,云天化,"云南云天化股份有限公司","他盛华","云南省昆明市滇池路1417号","650228","www.yyth.com.cn","-","-","-","52,836","0","1","0","55,896,235,914.52","0","0","592,710,502.05","-1,462,626,176.95","-2,434,429,150.83","65,668,619,651.21","8,213,891,684.29","0.38","0.38","-1.13","0","4.98","0","-14.77","0","0"
600097,开创国际,"上海开创国际海洋资源股份有限公司","汤期庆","上海市杨浦区共青路448号","200090","www.skmic.sh.cn","-","-","-","14,891","0","2","0","815,560,060.18","0","0","103,105,982.3","100,439,107.49","184,242,129.24","1,299,909,606.65","852,175,632.79","0.51","0.51","0.5","0","12.56","0","12.24","0","0"
600098,广州发展,"广州发展集团股份有限公司","伍竹林","广州市天河区临江大道3号28-30楼","510623","www.gdih.cn","-","-","-","71,149","0","1.5","0","16,628,451,479.63","0","0","1,028,042,862.82","974,240,318.2","2,740,196,117.01","33,732,440,951.58","13,391,722,590.88","0.37","0.37","0.36","0","7.85","0","7.44","0","0"
600099,林海股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600100,同方股份,"同方股份有限公司","陆致成","北京海淀区王庄路1号清华同方科技大厦A座30层","100083","http://www.thtf.com.cn","-","-","-","155,703","0","1","0","22,650,144,108.08","0","0","676,951,178.95","162,852,621.91","863,593,861.06","42,567,586,822.68","10,707,080,836.36","0.33","0.33","0.08","0","6.94","0","1.67","0","0"
600101,明星电力,"四川明星电力股份有限公司","秦怀平","四川省遂宁市开发区明月路88号","629000","http://www.mxdl.com.cn","-","-","-","37,172","0","0.55","0","1,080,729,764.7","0","0","164,723,813.82","65,812,755.57","160,517,515.33","2,565,109,395.92","1,736,587,065.07","0.51","0.51","0.2","0","9.9","0","3.96","0","0"
600102,莱钢股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600103,青山纸业,"福建省青山纸业股份有限公司","潘士颖","福建省福州市五一北路171号新都会花园广场16层","365506","www.qingshanpaper.com","-","-","-","159,475","0","0","0","1,809,205,036.55","0","0","17,241,552.79","-154,089,484.7","78,353,407.23","3,620,987,217.22","1,344,645,387.5","0.02","0.02","-0.15","0","1.26","0","-11.24","0","0"
600104,上汽集团,"上海汽车集团股份有限公司","胡茂元","中国上海浦东张江高科技园区松涛路563号1号楼509室","200041","http://www.saicmotor.com","-","-","-","150,162","0","12","0","563,345,672,365.78","0","0","24,803,626,272.23","22,780,329,617.96","20,602,511,608.81","373,640,740,801.94","137,757,238,640.92","2.25","0","2.07","0","19.07","0","17.52","0","0"
600105,永鼎股份,"江苏永鼎股份有限公司","莫林弟","江苏省苏州市吴江区芦墟镇318国道72K北侧","215211","www.yongding.com.cn","-","-","-","55,302","0","2","0","1,138,593,385.4","0","0","179,414,431.64","24,676,896.62","63,232,340.71","2,730,474,250.45","1,555,787,923.79","0.47","0.47","0.06","0","12.08","0","1.66","0","0"
600106,重庆路桥,"重庆路桥股份有限公司","江津","重庆市渝中区和平路9号10-1","400060","www.cqrb.com.cn","-","-","-","84,237","0","0.91","0","334,697,249.58","0","0","274,462,400.96","208,171,081.7","254,273,694.9","5,813,356,673.38","2,267,661,397.29","0.3","0.3","0.23","0","12.74","0","9.66","0","0"
600107,美尔雅,"湖北美尔雅股份有限公司","杨闻孙","湖北省黄石市消防路29号","435003","www.mailyard.com.cn","-","-","-","58,728","0","0","0","550,353,942.75","0","0","11,671,243.66","-18,445,097.66","14,588,135.07","2,508,281,742.53","531,441,741.94","0.03","0.03","-0.05","0","2.22","0","-3.51","0","0"
600108,亚盛集团,"甘肃亚盛实业（集团）股份有限公司","杨树军","兰州市城关区雁兴路21号","730010","http://www.yasheng.com.cn","-","-","-","208,983","0","0.2","0","2,336,837,177.69","0","0","380,436,880.01","322,433,628.77","374,184,870.42","6,501,130,073.09","4,664,642,818.52","0.2","0.2","0.17","0","8.41","0","7.13","0","0"
600109,国金证券,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600110,中科英华,"中科英华高技术股份有限公司","王为钢","吉林省长春市高新技术开发区火炬路286号","130102","www.kinwa.com.cn","-","-","-","124,982","0","0","0","1,972,988,530.65","0","0","5,527,420.77","-149,195,297.55","-224,641,254.76","6,433,653,964.46","1,990,273,764.53","0","0","-0.13","0","0.28","0","-7.52","0","0"
