股票代码,简称,公司法定中文名称,公司法定代表人,公司注册地址,公司办公地址邮政编码,公司国际互联网网址,公司董事会秘书姓名,公司董事会秘书电话,公司董事会秘书电子信箱,报告期末股东总数,每10股送红股数,每10股派息数（含税）,每10股转增数,本期营业收入(元),本期营业利润(元),利润总额(元),归属于上市公司股东的净利润(元),归属于上市公司股东的扣除非经常性损益的净利润(元),经营活动产生的现金流量净额(元),总资产(元),所有者权益（或股东权益）(元),基本每股收益(元/股),稀释每股收益(元/股),扣除非经常性损益后的基本每股收益(元/股),全面摊薄净资产收益率（%）,加权平均净资产收益率（%）,扣除非经常性损益后全面摊薄净资产收益率（%）,扣除非经常性损益后的加权平均净资产收益率（%）,每股经营活动产生的现金流量净额(元/股),归属于上市公司股东的每股净资产（元/股）
600000,浦发银行,"上海浦东发展银行股份有限公司","吉晓辉","中国上海市中山东一路12号","200002","http://www.spdb.com.cn","-","-","-","520,753","0","6.6","0","100,015,000,000","0","0","40,922,000,000","40,397,000,000","308,406,000,000","3,680,125,000,000","204,375,000,000","2.19","2.19","2.17","0","21.53","0","21.25","0","0"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"广州白云国际机场股份有限公司","张克俭","广州市白云国际机场南工作区自编一号","510470","www.gbiac.net","-","-","-","66,244","0","3.7","0","5,141,313,419.26","0","0","894,957,615.68","915,748,005.55","1,965,968,927.28","9,949,739,743.54","7,728,113,063.42","0.78","0.78","0.8","0","11.91","0","12.18","0","0"
600005,武钢股份,"武汉钢铁股份有限公司","邓崎琳","武汉市青山区沿港路3号","430083","http://www.wisco.com.cn","-","-","-","413,925","0","0.2","0","89,581,302,568.61","0","0","427,228,632.97","204,647,706.07","4,228,154,479.77","94,676,400,615.56","35,935,644,956.54","0.04","0.04","0.02","0","1.19","0","0.57","0","0"
600006,东风汽车,"东风汽车股份有限公司","朱福寿","湖北省襄阳市高新区春园路15号","430056","www.dfac.com","-","-","-","172,259","0","0.08","0","19,305,694,174.24","0","0","50,182,634.84","-95,537,028.79","-517,253,736.2","20,191,845,033.17","5,968,686,544.5","0.03","0.03","-0.05","0","0.84","0","-1.6","0","0"
600007,中国国贸,"中国国际贸易中心股份有限公司","洪敬南","北京市建国门外大街1号","100004","http://www.cwtc.com","-","-","-","29,606","0","1.7","0","2,050,149,034","0","0","325,196,780","422,286,968","1,097,411,315","9,320,750,892","4,858,610,501","0.32","0.32","0.42","0","6.85","0","8.89","0","0"
600008,首创股份,"北京首创股份有限公司","刘晓光","北京市海淀区双榆树知春路76号翠宫饭店写字楼15层","100028","http://www.capitalwater.cn","-","-","-","186,878","0","1.5","0","4,230,653,565.52","0","0","601,265,458.02","326,118,479.45","106,898,611.53","24,326,631,925.36","6,093,117,164.29","0.27","0.27","0.15","0","10.19","0","5.53","0","0"
600009,上海机场,"上海国际机场股份有限公司","贾锐军","上海市浦东新区启航路900号","201207","http://www.shairport.com","-","-","-","92,663","0","3","0","5,215,129,817.2","0","0","1,872,854,630.53","1,868,421,736.82","2,848,805,330.03","20,918,329,469.49","16,945,159,605.65","0.97","0.97","0.97","0","11.36","0","11.33","0","0"
600010,包钢股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600011,华能国际,"华能国际电力股份有限公司","曹培玺","北京市西城区复兴门内大街6号华能大厦","100031","www.hpi.com.cn; www.hpi-ir.com.hk","-","-","-","117,145","0","0","0","133,832,874,654","0","0","10,520,133,720","11,610,708,745","40,239,429,353","260,274,853,102","61,747,779,816","0.75","0.75","0.83","0","17.87","0","19.73","0","0"
600012,皖通高速,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600015,华夏银行,"华夏银行股份有限公司","吴建","北京市东城区建国门内大街22号","100005","http://www.hxb.com.cn；http://www.95577.com.cn","-","-","-","142,927","0","4.35","0","45,219,000,000","0","0","15,506,000,000","15,477,000,000","80,731,000,000","1,672,447,000,000","85,420,000,000","1.74","1.74","1.74","0","19.3","0","19.27","0","0"
600016,民生银行,"中国民生银行股份有限公司","董文标","中国北京市西城区复兴门内大街2号","100031","www.cmbc.com.cn","-","-","-","681,695","2","2.58","0","115,886,000,000","0","0","42,278,000,000","42,167,000,000","-35,238,000,000","3,226,210,000,000","197,712,000,000","1.49","1.43","1.49","0","23.23","0","23.17","0","0"
600017,日照港,"日照港股份有限公司","杜传志","山东省日照市海滨二路","276826","http://www.rzpcl.com","-","-","-","128,737","0","0.4","0","4,965,500,568.05","0","0","801,910,146.79","800,389,378.89","882,419,723.77","15,888,509,000.67","9,470,308,878.94","0.26","0.26","0.26","0","8.85","0","8.83","0","0"
600018,上港集团,"上海国际港务（集团）股份有限公司","陈戌源","上海市浦东新区芦潮港镇同汇路1号综合大楼A区4楼","200080","http://www.portshanghai.com.cn","-","-","-","387,680","0","1.27","0","28,162,298,532.54","0","0","5,255,528,522.52","5,103,255,017.25","8,612,678,117.08","88,611,621,861.42","49,819,605,645.35","0.23","0.23","0.22","0","10.76","0","10.45","0","0"
600019,宝钢股份,"宝山钢铁股份有限公司","何文波","上海市宝山区富锦路885号宝钢指挥中心","201900","http://www.baosteel.com/plc/","-","-","-","485,002","0","1","0","189,688,379,683.22","0","0","5,818,471,202.97","6,320,890,000","12,090,476,634.05","226,668,339,828.21","110,512,197,768.9","0.35","0.35","0.38","0","5.29","0","5.75","0","0"
600020,中原高速,"河南中原高速公路股份有限公司","金雷","郑州市郑东新区民生路1号1号楼第7层、第8层","450016","http://www.zygs.com","-","-","-","114,600","0","0.55","0","3,050,880,564.73","0","0","394,594,967.52","329,804,729.74","2,178,575,897.83","35,348,126,320.69","6,970,702,790.24","0.18","0.18","0.15","0","5.73","0","4.79","0","0"
600021,上海电力,"上海电力股份有限公司","王运丹","上海市中山南路268号","200010","www.shanghaipower.com","-","-","-","110,821","0","2","0","15,131,582,742.62","0","0","1,180,627,619.24","1,268,652,698.96","3,438,589,005.86","35,052,841,282.35","7,919,489,581.59","0.55","0.55","0.59","0","15.79","0","17.09","0","0"
600022,山东钢铁,"山东钢铁股份有限公司","任浩","济南市工业北路21号","250101","www.sdsteel.cc","-","-","-","235,202","0","0","0","70,469,797,409.65","0","0","158,294,827.37","-34,516,352.34","3,181,512,230.48","51,554,769,273.14","13,009,078,044.04","0.02","0.02","-0.01","0","1.22","0","-0.27","0","0"
600026,中海发展,"中海发展股份有限公司","许立荣","中国（上海）自由贸易试验区业盛路188号A-1015室","200080","www.cnshippingdev.com","-","-","-","97,223","0","0","0","11,392,036,931.66","0","0","-2,298,400,815.97","-1,876,103,660.51","1,554,840,919.09","58,842,478,988.15","21,227,371,256.99","-0.68","-0.68","-0.55","0","-10.27","0","-8.39","0","0"
600027,华电国际,"华电国际电力股份有限公司","李庆奎先生","山东省济南市经十路14800号","100031","www.hdpi.com.cn","-","-","-","171,111","0","2.25","0","66,624,666,000","0","0","4,138,608,000","4,603,852,000","21,885,658,000","172,817,845,000","22,960,403,000","0.56","0.56","0.62","0","19.72","0","21.93","0","0"
600028,中国石化,"中国石油化工股份有限公司","傅成玉","中国北京市朝阳区朝阳门北大街22号","100728","http://www.sinopec.com","-","-","-","687,875","0","0","0","2,880,311,000,000","0","0","67,179,000,000","66,658,000,000","151,893,000,000","1,382,916,000,000","570,346,000,000","0.58","0.54","0.57","0","12.24","0","12.15","0","0"
600029,南方航空,"中国南方航空股份有限公司","司献民","广东省广州市萝岗区经济技术开发区开发大道203号233房","510405","www.csair.com","-","-","-","252,561","0","0.4","0","98,130,000,000","0","0","1,895,000,000","1,834,000,000","11,128,000,000","165,145,000,000","34,139,000,000","0.19","0.19","0.19","0","5.67","0","5.48","0","0"
600030,中信证券,"","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600031,三一重工,"三一重工股份有限公司","梁稳根","北京市昌平区北清路8号6幢5楼","102206","www.sanyhi.com","-","-","-","508,754","0","0","0","37,327,890,000","0","0","2,903,595,000","2,411,493,000","2,769,329,000","63,867,783,000","23,887,722,000","0.38","0.38","0.32","0","12.19","0","10.13","0","0"
