股票代码,简称,国家持有的有限售条件流通股份数,国有法人持有的有限售条件流通股份数,其他有限售条件的内资流通股份数,境内法人持有的有限售条件流通股份数,境内自然人持有的有限售条件流通股份数,有限售条件的外资流通股份数,境外法人持有的有限售条件流通股份数,境外自然人持有的有限售条件流通股份数,其他有限售股流通股数,有限售条件流通股数,无限售条件人民币普通股数,无限售条件境内上市的外资股数,无限售条件境外上市的外资股数,其他无限售条件已上市流通股份数,无限售条件流通股份合计,股份总数,国家持有的有限售条件流通股份占总股本比例(%),国有法人持有的有限售条件流通股份占总股本比例(%),其他有限售条件的内资流通股份占总股本比例(%),境内法人持有的有限售条件流通股份占总股本比例(%),境内自然人持有的有限售条件流通股份占总股本比例(%),有限售条件的外资流通股份占总股本比例(%),境外法人持有的有限售条件流通股份占总股本比例(%),境外自然人持有的有限售条件流通股份占总股本比例(%),其他有限售股流通股份占总股本比例(%),有限售条件流通股占总股本比例(%),无限售条件人民币普通股占总股本比例(%),无限售条件境内上市的外资股占总股本比例(%),无限售条件境外上市的外资股占总股本比例(%),其他无限售条件已上市流通股份占总股本比例(%),无限售条件流通股占总股本比例(%),股份总数占总股本比例(%)
601116,三江购物,"0","0","350,758,800","252,000,000","98,758,800","0","0","0","0","350,758,800","60,000,000","0","0","0","60,000,000","410,758,800","-","-",85.39,61.35,24.04,"-","-","-","-",85.39,14.61,"-","-","-",14.61,100.0
601117,中国化学,"0","0","0","0","0","0","0","0","0","0","4,933,000,000","0","0","0","4,933,000,000","4,933,000,000","-",0.0,"-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
601118,海南橡胶,"77,159,576","2,869,012,024","0","0","0","0","0","0","0","2,946,171,600","985,000,000","0","0","0","985,000,000","3,931,171,600",1.96,72.98,"-","-","-","-","-","-","-",74.94,25.06,"-","-","-",25.06,100.0
601126,四方股份,"0","0","1,752,000","0","1,752,000","0","0","0","0","1,752,000","404,843,000","0","0","0","404,843,000","406,595,000","-","-",0.43,"-",0.43,"-","-","-","-",0.43,99.57,"-","-","-",99.57,100.0
601137,博威合金,"0","0","0","120,000,000","0","0","0","0","0","120,000,000","55,000,000","40,000,000","0","0","95,000,000","215,000,000","-","-","-",55.81,"-","-","-","-","-",55.81,25.58,18.61,"-","-",44.19,100.0
601139,深圳燃气,"39,529,500","0","36,341,235","36,341,235","0","0","0","0","0","75,870,735","1,904,579,265","0","0","0","1,904,579,265","1,980,450,000",1.99,"-",1.84,1.84,"-","-","-","-","-",3.83,96.17,"-","-","-",96.17,100.0
601158,重庆水务,"0","0","0","0","0","0","0","0","0","0","4,800,000,000","0","0","0","4,800,000,000","4,800,000,000","-",0.0,0.0,0.0,"-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
601166,兴业银行,"0","2,684,189,100","188,530,950","188,530,950","0","0","0","0","0","2,872,720,050","16,179,616,701","0","0","0","16,179,616,701","19,052,336,751",0.0,14.09,0.99,0.99,0.0,0.0,0.0,0.0,"-",15.08,84.92,0.0,0.0,0.0,84.92,100.0
601168,西部矿业,"0","0","0","0","0","0","0","0","0","0","2,383,000,000","0","0","0","2,383,000,000","2,383,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
601169,北京银行,"0","314,901,592","1,012,183,690","1,012,183,690","0","0","0","0","0","1,327,085,282","7,473,074,257","0","0","0","7,473,074,257","8,800,159,539","-",3.58,11.5,11.5,"-","-","-","-","-",15.08,84.92,"-","-","-",84.92,100.0
601177,杭齿前进,"0","0","0","0","0","0","0","0","0","0","400,060,000","0","0","0","400,060,000","400,060,000",0.0,"-","-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
601179,中国西电,"0","0","0","0","0","768,882,352","0","0","0","768,882,352","4,357,000,000","0","0","0","4,357,000,000","5,125,882,352","-","-","-","-","-",15.0,"-","-","-",15.0,85.0,"-","-","-",85.0,100.0
601186,中国铁建,"0","245,000,000","0","0","0","0","0","0","0","0","10,016,245,500","0","2,076,296,000","0","0","12,337,541,500","-",1.98,"-","-","-","-","-","-","-","-",81.19,"-",16.83,"-","-",100.0
601188,龙江交通,"0","102,678,571","0","0","0","0","0","0","0","102,678,571","1,213,200,000","0","0","0","1,213,200,000","1,315,878,571","-",7.8,"-","-","-","-","-","-","-",7.8,92.2,"-","-","-",92.2,100.0
601199,江南水务,"65,738,699","81,740,995","5,880,000","0","0","0","0","0","0","153,359,694","80,440,306","0","0","0","80,440,306","233,800,000",28.12,34.96,2.51,"-","-","-","-","-","-",65.59,34.41,"-","-","-",34.41,100.0
601208,东材科技,"0","0","298,686,600","232,437,600","66,249,000","0","0","0","0","298,686,600","317,073,400","0","0","0","317,073,400","615,760,000","-","-",48.51,37.75,10.76,"-","-","-","-",48.51,51.49,"-","-","-",51.49,100.0
601216,内蒙君正,"0","0","0","313,640,000","468,000,000","0","0","0","0","781,640,000","498,360,000","0","0","0","498,360,000","1,280,000,000","-","-","-",24.5,36.57,"-","-","-","-",61.07,38.93,"-","-","-",38.93,100.0
601218,吉鑫科技,"0","0","684,574,000","0","684,574,000","0","0","0","0","684,574,000","307,186,000","0","0","0","307,186,000","991,760,000","-","-",69.03,"-",69.03,"-","-","-","-",69.03,30.97,"-","-","-",30.97,100.0
601222,林洋电子,"0","0","235,426,000","230,400,000","5,026,000","0","0","0","0","235,426,000","119,754,000","0","0","0","119,754,000","355,180,000","-","-",66.28,64.87,1.41,"-","-","-","-",66.28,33.72,"-","-","-",33.72,100.0
601231,环旭电子,"0","0","9,049,238","9,049,238","0","895,874,563","895,874,563","0","0","904,923,801","106,800,000","0","0","0","106,800,000","1,011,723,801","-","-",0.89,0.89,"-",88.55,88.55,"-","-",89.44,10.56,"-","-","-",10.56,100.0
601233,桐昆股份,"0","0","437,837,570","362,485,010","75,352,560","0","0","0","0","437,837,570","525,762,430","0","0","0","525,762,430","963,600,000","-","-",45.44,37.62,7.82,"-","-","-","-",45.44,54.56,"-","-","-",54.56,100.0
601238,广汽集团,"0","3,617,403,529","0","0","0","0","0","0","0","3,617,403,529","604,316,350","0","2,213,300,218","0","2,817,616,568","6,435,020,097","-",56.21,"-","-","-","-","-","-","-",56.21,9.39,"-",34.4,"-",43.79,100.0
601258,庞大集团,"0","0","1,908,060,000","548,567,250","1,359,492,750","0","0","0","0","0","713,440,000","0","0","0","0","2,621,500,000","-","-",72.79,20.93,51.86,"-","-","-","-","-",27.21,"-","-","-","-",100.0
601268,*ST二重,"0","603,449,524","0","0","0","0","0","0","0","603,449,524","1,690,000,000","0","0","0","1,690,000,000","2,293,449,524","-",26.31,"-","-","-","-","-","-","-",26.31,73.69,"-","-","-",73.69,100.0
601288,农业银行,"9,891,764,707","0","0","0","0","0","0","0","0","9,891,764,707","284,163,529,197","0","30,738,823,096","0","314,902,352,293","324,794,117,000",3.0,"-","-","-","-","-","-","-","-",3.0,87.5,"-",9.5,"-",97.0,100.0
601299,中国北车,"0","8,606,000","0","0","0","0","0","0","0","8,606,000","10,311,450,303","0","0","0","10,311,450,303","10,320,056,303","-",0.08,"-","-","-","-","-","-","-",0.08,99.92,"-","-","-",99.92,100.0
601311,骆驼股份,"0","0","549,983,218","181,395,428","368,587,790","0","0","0","0","549,983,218","301,850,532","0","0","0","301,850,532","851,833,750","-","-",64.56,21.29,43.27,"-","-","-","-",64.56,35.44,"-","-","-",35.44,100.0
601313,江南嘉捷,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601318,中国平安,"0","0","0","0","0","0","0","0","0","0","4,786,409,636","0","3,129,732,456","0","0","7,916,142,092","-","-","-","-","-","-","-","-","-","-",60.46,"-",39.54,"-","-",100.0
601328,交通银行,"4,407,854,231","1,428,571,426","705,385,012","705,385,012","0","0","0","0","0","6,541,810,669","32,709,053,346","0","35,011,862,630","0","67,720,915,976","74,262,726,645",5.94,1.92,0.95,0.95,"-","-","-","-","-",8.81,44.04,"-",47.15,"-",91.19,100.0
601333,广深铁路,"0","0","0","0","0","0","0","0","0","0","5,652,237,000","0","1,431,300,000","0","7,083,537,000","7,083,537,000","-","-","-","-","-","-","-","-","-","-",79.79,"-",20.21,"-",100.0,100.0
601336,新华保险,"984,858,568","0","0","0","0","0","0","0","0","0","1,100,580,772","0","1,034,107,260","0","0","3,119,546,600",31.57,"-","-","-","-","-","-","-","-","-",35.28,"-",33.15,"-","-",100.0
601339,百隆东方,"0","0","17,399,876","17,399,876","0","545,600,124","334,800,000","210,800,124","0","563,000,000","187,000,000","0","0","0","187,000,000","750,000,000",0.0,0.0,2.32,2.32,0.0,72.75,44.64,28.11,"-",75.07,24.93,"-","-","-",24.93,100.0
601369,陕鼓动力,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601377,兴业证券,"162,640,000","80,000,000","278,000,000","278,000,000","0","0","0","0","0","520,640,000","2,079,360,000","0","0","0","2,079,360,000","2,600,000,000",6.26,3.08,10.69,10.69,"-","-","-","-","-",20.02,79.98,"-","-","-",79.98,100.0
601388,怡球资源,"0","0","4,575,000","4,575,000","0","234,240,000","234,240,000","0","0","238,815,000","171,185,000","0","0","0","171,185,000","410,000,000","-","-",1.12,1.12,"-",57.13,57.13,"-","-",58.25,41.75,"-","-","-",41.75,100.0
601390,中国中铁,"0","0","0","0","0","0","0","0","0","0","17,092,510,000","0","4,207,390,000","0","21,299,900,000","21,299,900,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"-",0.0,80.25,0.0,19.75,0.0,100.0,100.0
601398,工商银行,"0","0","0","0","0","0","0","0","0","0","264,594,628,396","0","86,794,044,550","0","351,388,672,946","351,388,672,946","-","-","-","-","-","-","-","-","-","-",75.3,"-",24.7,"-",100.0,100.0
601515,东风股份,"0","0","95,850,000","95,850,000","0","375,500,000","375,500,000","0","0","471,350,000","84,650,000","0","0","0","84,650,000","556,000,000",0.0,0.0,17.24,17.24,0.0,67.54,67.54,0.0,"-",84.78,15.22,0.0,0.0,0.0,15.22,100.0
601518,吉林高速,"0","0","0","0","0","0","0","0","0","0","1,213,200,000","0","0","0","1,213,200,000","1,213,200,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
601519,大智慧,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601555,东吴证券,"0","778,620,000","0","0","0","0","0","0","0","778,620,000","1,221,380,000","0","0","0","1,221,380,000","2,000,000,000",0.0,38.93,0.0,0.0,0.0,0.0,0.0,0.0,"-",38.93,61.07,0.0,0.0,0.0,61.07,100.0
601558,华锐风电,"0","720,000,000","2,280,000,000","2,280,000,000","0","600,000,000","600,000,000","0","0","3,600,000,000","420,400,000","0","0","0","420,400,000","4,020,400,000","-",17.91,56.71,56.71,"-",14.92,14.92,"-","-",89.54,10.46,"-","-","-",10.46,100.0
601566,九牧王,"0","0","116,325,150","112,500,000","3,825,150","337,500,000","337,500,000","0","0","453,825,150","124,637,150","0","0","0","124,637,150","578,462,300","-","-",20.11,19.45,0.66,58.34,58.34,"-","-",78.45,21.55,"-","-","-",21.55,100.0
601567,三星电气,"0","0","266,220,000","180,000,000","86,220,000","0","0","0","0","266,220,000","134,280,000","0","0","0","134,280,000","400,500,000","-","-",66.47,44.94,21.53,"-","-","-","-",66.47,33.53,"-","-","-",33.53,100.0
601588,北辰实业,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601599,鹿港科技,"0","0","153,085,535","0","153,085,535","0","0","0","0","153,085,535","164,914,465","0","0","0","164,914,465","318,000,000","-","-",48.15,"-",48.15,"-","-","-","-",48.15,51.85,"-","-","-",51.85,100.0
601600,中国铝业,"0","0","0","0","0","0","0","0","0","0","9,580,521,924","0","3,943,965,968","0","13,524,487,892","13,524,487,892","-","-","-","-","-","-","-","-","-","-",70.84,"-",29.16,"-",100.0,100.0
601601,中国太保,"0","0","78,412,727","78,412,727","0","0","0","0","0","78,412,727","6,208,287,273","0","2,775,300,000","0","8,983,587,273","9,062,000,000","-","-",0.87,0.87,"-","-","-","-","-",0.87,68.51,"-",30.62,"-",99.13,100.0
601607,上海医药,"0","0","81,600","81,600","0","0","0","0","0","81,600","1,922,935,018","0","765,893,920","0","2,688,828,938","2,688,910,538","-",0.0,0.0,0.0,"-","-","-","-","-",0.0,71.51,"-",28.48,"-",100.0,100.0
601608,中信重工,"0","1,987,317,047","0","0","0","0","0","0","0","1,987,317,047","752,682,953","0","0","0","752,682,953","2,740,000,000","-",72.53,"-","-","-","-","-","-","-",72.53,27.47,"-","-","-",27.47,100.0
601616,广电电气,"0","0","332,253,000","260,253,000","72,000,000","46,972,800","0","46,972,800","0","379,225,800","553,354,200","0","0","0","553,354,200","932,580,000","-","-",35.6,27.9,7.7,5.1,"-",5.1,"-",40.7,59.3,"-","-","-",59.3,100.0
601618,中国中冶,"0","0","0","0","0","0","0","0","0","0","16,239,000,000","2,871,000,000","0","0","0","19,110,000,000","-","-","-","-","-","-","-","-","-","-",84.98,15.02,"-","-","-",100.0
601628,中国人寿,"0","0","0","0","0","0","0","0","0","0","20,823,530,000","0","7,441,175,000","0","0","28,264,705,000","-","-","-","-","-","-","-","-","-","-",73.67,"-",26.33,"-","-",100.0
601633,长城汽车,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601636,旗滨集团,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601666,平煤股份,"0","0","0","0","0","0","0","0","0","0","2,361,164,982","0","0","0","2,361,164,982","2,361,164,982","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
601668,中国建筑,"0","0","146,780,000","0","0","0","0","0","0","0","29,853,220,000","0","0","0","0","30,000,000,000","-","-",0.49,"-","-","-","-","-","-","-",99.51,"-","-","-","-",100.0
601669,中国水电,"0","6,300,000,000","297,000,000","297,000,000","0","0","0","0","0","6,597,000,000","3,003,000,000","0","0","0","3,003,000,000","9,600,000,000","-",65.63,3.09,3.09,"-","-","-","-","-",68.72,31.28,"-","-","-",31.28,100.0
601677,明泰铝业,"0","0","0","0","292,750,000","0","0","0","0","292,750,000","108,250,000","0","0","0","108,250,000","401,000,000","-","-","-",0.0,73.0,"-","-","-","-",73.0,27.0,"-","-","-",27.0,100.0
601678,滨化股份,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
601688,华泰证券,"0","2,327,587","0","0","0","0","0","0","0","2,327,587","5,597,672,413","0","0","0","5,597,672,413","5,600,000,000","-",0.04,"-","-","-","-","-","-","-",0.04,99.96,"-","-","-",99.96,100.0
601699,潞安环能,"0","0","0","0","0","0","0","0","0","0","2,301,084,000","0","0","0","2,301,084,000","2,301,084,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
601700,风范股份,"0","0","289,560,000","0","289,560,000","0","0","0","0","289,560,000","163,800,000","0","0","0","163,800,000","453,360,000","-","-",63.87,"-",63.87,"-","-","-","-",63.87,36.13,"-","-","-",36.13,100.0
601717,郑煤机,"0","0","0","0","0","0","0","0","0","0","1,377,887,800","0","243,234,200","0","1,621,122,000","1,621,122,000",0.0,0.0,"-","-","-",0.0,0.0,"-","-",0.0,85.0,"-",15.0,"-",100.0,100.0
601718,际华集团,"0","0","0","0","0","0","0","0","0","0","3,857,000,000","0","0","0","3,857,000,000","3,857,000,000","-",0.0,"-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
601727,上海电气,"0","0","0","0","0","0","0","0","0","0","9,850,714,660","0","2,972,912,000","0","12,823,626,660","12,823,626,660","-","-","-","-","-","-","-","-","-","-",76.82,"-",23.18,"-",100.0,100.0
601766,中国南车,"1,662,103,700","0","0","0","0","0","0","0","0","1,662,103,700","10,116,896,300","0","2,024,000,000","0","12,140,896,300","13,803,000,000",12.04,"-","-","-","-","-","-","-","-",12.04,73.29,"-",14.67,"-",87.96,100.0
601777,力帆股份,"0","0","57,445,000","0","57,445,000","1,498,000","0","1,498,000","0","58,943,000","951,445,087","0","0","0","951,445,087","1,010,388,087","-","-",5.68,"-",5.68,0.15,"-",0.15,"-",5.83,94.17,"-","-","-",94.17,100.0
601788,光大证券,"0","0","0","0","0","0","0","0","0","0","3,418,000,000","0","0","0","3,418,000,000","3,418,000,000",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"-",0.0,100.0,0.0,0.0,0.0,100.0,100.0
601789,宁波建工,"0","8,400,000","367,660,247","279,728,247","87,932,000","0","0","0","0","376,060,247","111,979,753","0","0","0","111,979,753","488,040,000","-",1.72,75.34,57.32,18.02,"-","-","-","-",77.06,22.94,"-","-","-",22.94,100.0
601798,蓝科高新,"7,157,895","196,842,105","0","0","0","0","0","0","0","204,000,000","116,000,000","0","0","0","116,000,000","320,000,000",2.24,61.51,0.0,"-","-","-","-","-","-",63.75,36.25,"-","-","-",36.25,100.0
601799,星宇股份,"0","8,820,000","160,564,500","17,676,000","142,888,500","0","0","0","0","169,384,500","70,305,100","0","0","0","70,305,100","239,689,600","-",3.68,66.99,7.37,59.62,"-","-","-","-",70.67,29.33,"-","-","-",29.33,100.0
601800,中国交建,"10,397,500,000","0","0","0","0","0","0","0","0","0","1,349,735,425","0","4,427,500,000","0","0","16,174,735,425",64.28,"-",0.0,"-","-","-","-","-","-","-",8.35,"-",27.37,"-","-",100.0
601801,皖新传媒,"0","0","0","0","0","0","0","0","0","0","910,000,000","0","0","0","910,000,000","910,000,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
601808,中海油服,"0","50,000,000","0","0","0","0","0","0","0","50,000,000","2,910,468,000","0","1,534,852,000","0","4,445,320,000","4,495,320,000","-",1.11,"-","-","-","-","-","-","-",1.11,64.75,"-",34.14,"-",98.89,100.0
601818,光大银行,"0","0","0","0","0","3,397,848,000","3,397,848,000","0","0","3,397,848,000","40,434,790,000","0","2,444,152,000","0","42,878,942,000","46,276,790,000","-","-","-","-","-",7.34,7.34,"-","-",7.34,87.38,"-",5.28,"-",92.66,100.0
601857,中国石油,"0","0","0","0","0","0","0","0","0","0","161,922,077,818","0","21,098,900,000","0","183,020,977,818","183,020,977,818","-",0.0,"-","-","-","-","-","-","-",0.0,88.47,"-",11.53,"-",100.0,100.0
601866,中海集运,"0","0","0","0","0","0","0","0","0","0","7,932,125,000","0","3,751,000,000","0","11,683,125,000","11,683,125,000","-",0.0,"-","-","-","-","-","-","-",0.0,67.89,"-",32.11,"-",100.0,100.0
601872,招商轮船,"539,928,434","404,255,928","0","0","0","0","0","0","0","944,184,362","3,776,737,447","0","0","0","3,776,737,447","4,720,921,809",11.44,8.56,"-","-","-","-","-","-","-",20.0,80.0,"-","-","-",80.0,100.0
601877,正泰电器,"0","0","0","0","0","0","0","0","0","0","1,008,018,000","0","0","0","1,008,018,000","1,008,018,000","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
601880,大连港,"0","0","0","0","0","0","0","0","0","0","3,363,400,000","0","1,062,600,000","0","4,426,000,000","4,426,000,000",0.0,0.0,0.0,0.0,"-","-","-","-","-",0.0,75.99,"-",24.01,"-",100.0,100.0
