股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600000,浦发银行,"0","475,220,654,634.2","2,000,000","-312,356,596,355.19","0","0","0","0","80,247,178,233.23","0","0","0","6,533,366,464.08","249,646,602,976.32","0","217,921,451,524.21","-12,047,968,727.12","0","24,525,141,925.41","0","10,470,124,897.74","8,357,677,867.25","5,927,179,067.29","255,153,606,554.78","-5,507,003,578.46","474,297,500,086","48,725,535.49","0","0","35,579,528.35","474,381,805,149.84","1,578,543,311.76","469,083,544,457.97","0","0","0","470,662,087,769.73","3,719,717,380.11","39,346,464,245.32","147,000,000","0","0","0","39,346,464,245.32","2,000,000,000","2,085,914,190.26","0","0","4,085,914,190.26","35,260,550,055.06","0","33,473,263,856.71","167,595,678,848.38"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"4,059,509,993.11","0","0","0","0","0","0","0","0","0","0","146,604.64","52,903,219.32","4,112,559,817.07","861,619,540.17","0","0","0","0","0","1,104,257,677.87","423,910,190.99","76,318,075.33","2,466,105,484.36","1,646,454,332.71","0","1,796,315.34","301,158.01","0","100,000,000","102,097,473.35","1,605,086,734.3","0","0","0","0","1,605,086,734.3","-1,502,989,260.95","0","0","1,000,000,000","1,000,000,000","0","2,000,000,000","480,000,000","374,844,959.08","21,989,755.06","26,452,583.7","2,381,297,542.78","-381,297,542.78","-443,150.43","-238,275,621.45","918,820,617.2"
600005,武钢股份,"66,195,222,145.51","0","0","0","0","0","0","0","0","0","0","1,502,526,263.21","25,960,275.63","67,723,708,684.35","56,563,832,207.69","0","0","0","0","0","2,946,640,919.6","1,731,889,205.76","752,202,964.6","61,994,565,297.65","5,729,143,386.7","50,000,000","56,837,331.86","7,712.21","0","0","106,845,044.07","3,746,721,293.42","15,000,000","0","0","0","3,761,721,293.42","-3,654,876,249.35","0","0","19,905,996,485.22","0","0","19,905,996,485.22","21,162,395,797.38","1,650,199,475.95","457,817.52","0","22,812,595,273.33","-2,906,598,788.11","-54,438.04","-832,386,088.8","2,251,780,526.98"
600006,东风汽车,"19,411,807,322.29","0","0","0","0","0","0","0","0","0","0","135,958,615.03","395,554,568.34","19,943,320,505.66","16,792,456,011.61","0","0","0","0","0","860,666,723.41","735,911,186.09","1,194,403,165.84","19,583,437,086.95","359,883,418.71","365,121,194.22","261,933,674.81","3,812,277.17","0","46,665,332.18","677,532,478.38","787,185,088.3","515,839,613.01","0","0","1,611,189.88","1,304,635,891.19","-627,103,412.81","0","0","17,969,784.84","0","895,105,016.38","913,074,801.22","181,755,715.09","119,671,300.93","0","647,037,451.93","948,464,467.95","-35,389,666.73","-9,448,003.23","-312,057,664.06","3,283,496,290.72"
600007,中国国贸,"1,002,438,725","0","0","0","0","0","0","0","0","0","0","0","75,798,309","1,078,237,034","162,350,132","0","0","0","0","0","169,474,750","149,263,312","157,848,738","638,936,932","439,300,102","0","0","207,048","0","0","207,048","381,534,329","0","0","0","0","381,534,329","-381,327,281","0","0","606,030,000","0","0","606,030,000","250,000,000","356,163,715","475,000","0","606,163,715","-133,715","-144,774","57,694,332","241,638,229"
600008,首创股份,"3,504,617,685.32","0","0","0","0","0","0","0","0","0","0","0","501,129,495.31","4,005,747,180.63","2,298,535,057.91","0","0","0","0","0","497,531,653.11","306,012,062.83","249,729,607.56","3,351,808,381.41","653,938,799.22","507,127,351.14","78,262,446.99","14,238,780.99","0","25,319,414.26","624,947,993.38","922,190,001.34","689,704,448.46","0","29,857,973.88","0","1,641,752,423.68","-1,016,804,430.3","58,400,000","33,400,000","1,822,040,646.09","800,000,000","28,528,781.7","2,708,969,427.79","2,083,809,864.48","549,638,843.45","70,375,672.34","6,722,106.97","2,640,170,814.9","68,798,612.89","-3,275,362.91","-297,342,381.1","2,036,304,447.57"
600009,上海机场,"4,416,682,919.2","0","0","0","0","0","0","0","0","0","0","0","49,060,636.07","4,465,743,555.27","674,860,937.57","0","0","0","0","0","889,029,203.7","428,502,131.15","225,829,688.75","2,218,221,961.17","2,247,521,594.1","0","82,450,729.22","120,570","0","0","82,571,299.22","521,300,460.86","0","0","0","0","521,300,460.86","-438,729,161.64","0","0","450,000,000","0","0","450,000,000","920,000,000","306,752,228.62","69,384,721","0","1,226,752,228.62","-776,752,228.62","-17,016.93","1,032,023,186.91","1,409,053,694.47"
600010,包钢股份,"36,479,526,277.38","0","0","0","0","0","0","0","0","0","0","7,591,078.79","54,390,623.16","36,541,507,979.33","29,399,718,579.69","0","0","0","0","0","2,648,346,735.38","1,860,668,781.95","395,991,420.72","34,304,725,517.74","2,236,782,461.59","600,000,000","24,784,066.6","6,240,000","0","0","631,024,066.6","2,031,766,118.84","175,000,000","0","0","0","2,206,766,118.84","-1,575,742,052.24","0","0","2,599,098,720","0","0","2,599,098,720","4,388,569,758.58","756,668,367.32","0","3,000,000","5,148,238,125.9","-2,549,139,405.9","0","-1,888,098,996.55","2,104,171,804.53"
600011,华能国际,"117,893,857,118","0","0","0","0","0","0","0","0","0","0","29,782,911","691,974,821","118,615,614,850","90,289,496,886","0","0","0","0","0","4,196,858,027","5,137,943,604","924,591,549","100,548,890,066","18,066,724,784","0","315,205,230","105,816,046","0","38,145,817","459,167,093","20,731,717,336","880,985,089","0","5,827,002,912","0","27,439,705,337","-26,980,538,244","10,563,689,768","283,520,600","72,405,806,430","9,959,850,000","291,869,671","93,221,215,869","71,293,460,782","8,774,395,586","249,043,480","90,035,783","80,157,892,151","13,063,323,718","49,945,605","4,199,455,863","9,426,437,511"
600012,皖通高速,"2,115,895,497.92","0","0","0","0","0","0","0","0","0","0","0","7,926,386.59","2,123,821,884.51","128,300,331.01","0","0","0","0","0","133,917,435.26","312,809,069.84","5,412,664.71","580,439,500.82","1,543,382,383.69","0","0","16,837,031.02","23,208,316","4,761,564.56","44,806,911.58","725,844,839.75","0","0","0","49,507.79","725,894,347.54","-681,087,435.96","0","0","389,400,000","0","0","389,400,000","1,035,000,000","503,155,952.97","51,410,648.56","0","1,538,155,952.97","-1,148,755,952.97","0","-286,461,005.24","756,506,986.56"
600015,华夏银行,"0","197,267,583,413.28","0","0","0","0","0","0","25,579,140,768.92","0","0","0","400,155,962.81","223,246,880,145.01","0","99,325,937,783.02","42,537,778,876.32","0","346,807,856.85","0","4,171,179,736.24","3,541,881,605.83","6,892,096,676.15","199,971,536,981.55","23,275,343,163.46","226,642,418,833.28","0","0","0","25,192,957.85","226,667,611,791.13","2,551,773,202.44","226,422,964,585.64","0","0","0","228,974,737,788.08","-2,307,125,996.95","0","0","0","4,400,000,000","0","4,400,000,000","4,250,000,000","680,468,681.08","0","991,611,197.25","5,922,079,878.33","-1,522,079,878.33","-4,001,198.83","19,442,136,089.35","78,431,423,106.3"
600016,民生银行,"0","340,827,000,000","0","0","0","0","0","0","73,399,000,000","0","0","0","13,531,000,000","427,757,000,000","0","175,365,000,000","92,586,000,000","0","21,652,000,000","0","9,649,000,000","9,060,000,000","26,654,000,000","390,335,000,000","37,422,000,000","126,822,000,000","5,804,000,000","106,000,000","0","0","132,732,000,000","4,153,000,000","151,803,000,000","0","0","0","155,956,000,000","-23,224,000,000","182,000,000","182,000,000","0","5,771,000,000","0","5,953,000,000","7,400,000,000","2,003,000,000","0","0","9,403,000,000","-3,450,000,000","-281,000,000","10,467,000,000","172,217,000,000"
600017,日照港,"2,258,488,834.08","0","0","0","0","0","0","0","0","0","0","0","34,111,915.78","2,292,600,749.86","1,044,985,327.38","0","0","0","0","0","389,089,505.08","147,569,850.35","233,002,658.23","1,814,647,341.04","477,953,408.82","24,099,400","0","10,700","0","0","24,110,100","1,035,416,623.71","9,900,000","0","0","0","1,045,316,623.71","-1,021,206,523.71","0","0","1,645,561,113.24","0","0","1,645,561,113.24","1,012,990,000","132,078,369.53","0","2,261,062.31","1,147,329,431.84","498,231,681.4","0","-45,021,433.49","335,724,877.9"
600018,上港集团,"19,255,678,887.15","0","0","0","0","0","0","0","0","0","0","25,510,940.38","4,184,732,433.99","23,465,922,261.52","6,579,570,251.07","0","0","0","0","0","3,461,097,624.02","1,595,403,028.14","3,610,529,518.06","15,246,600,421.29","8,219,321,840.23","21,755,414.96","173,485,126.09","470,756,301.77","0","7,500,000","673,496,842.82","3,095,139,702.39","1,647,725,616.89","0","0","4,123,493.57","4,746,988,812.85","-4,073,491,970.03","13,500,000","13,500,000","10,171,846,584.36","0","0","10,185,346,584.36","10,816,376,584.36","3,345,273,594.15","1,132,083,508.88","6,078,076.74","14,167,728,255.25","-3,982,381,670.89","-12,513,313.12","150,934,886.19","6,896,026,447.33"
600019,宝钢股份,"231,965,535,494.77","1,889,745,061.66","0","0","0","0","0","0","260,254,682.91","0","0","120,096,182.75","2,068,141,410.04","236,520,148,327.37","198,696,473,425.56","0","478,563,937.89","0","158,641,748.63","0","8,025,470,106.38","7,277,031,657.28","2,995,327,587.78","217,664,621,963.52","18,855,526,363.85","5,894,245,599.3","586,383,359.92","123,578,548.77","0","50,545,045.75","6,654,752,553.74","13,246,396,042.13","5,977,056,402.29","0","0","41,713,292.1","19,265,165,736.52","-12,610,413,182.78","223,084,738.4","222,517,300","57,442,984,308.4","0","0","57,666,069,046.8","53,440,636,678.25","4,523,729,900.65","180,707,625.8","0","60,833,166,578.9","-3,167,097,532.1","35,820,868.28","3,113,836,517.25","7,937,919,424.23"
