股票代码,简称,营业总收入(元),营业收入(元),金融资产利息收入(元),已赚保费(元),手续费及佣金收入(元),营业总成本(元),营业成本(元),金融资产利息支出(元),手续费及佣金支出(元),退保金(元),赔付支出净额(元),提取保险合同准备金净额(元),保单红利支出(元),分保费用(元),营业税金及附加(元),销售费用(元),管理费用(元),财务费用(元),资产减值损失(元),公允价值变动收益(元),投资收益(元),对联营企业和合营企业的投资收益(元),汇兑收益(元),营业利润(元),营业外收入(元),营业外支出(元),非流动资产处置净损失(元),利润总额(元),所得税(元),净利润(元),归属于母公司所有者的净利润(元),少数股东损益(元),基本每股收益(元),稀释每股收益(元)
600000,浦发银行,"77,428,403,508.91","49,855,850,666.76","72,966,932,285.62","0","4,461,471,223.29","32,766,611,530.43","24,783,798,957.21","27,763,421,863.92","412,925,407.37","0","0","0","0","0","3,395,393,945.14","0","0","0","4,587,418,628.08","-87,629,640.6","22,211,896.4","75,665,700.93","540,419,912.27","25,072,051,709.55","247,828,802.12","38,974,891.44","0","25,280,905,620.23","6,102,318,979.29","19,178,586,640.94","19,177,210,892.61","1,375,748.33","1.604","1.604"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"3,865,479,479.2","3,865,479,479.2","0","0","0","3,034,051,569.74","2,452,525,912.12","0","0","0","0","0","0","0","152,582,492.87","67,428,980.97","311,857,687.66","50,233,359.19","-576,863.07","0","1,796,315.34","0","0","833,224,224.8","10,638,084.89","9,300,504.03","335,411.02","834,561,805.66","211,965,685.37","622,596,120.29","587,778,570.54","34,817,549.75","0.51","0.51"
600005,武钢股份,"75,596,603,085.56","75,596,603,085.56","0","0","0","73,579,264,176.53","69,439,736,834.28","0","0","0","0","0","0","0","187,954,607.81","739,082,700.73","1,934,151,394.75","850,605,183.21","427,733,455.75","0","169,186,976.91","162,522,689.24","0","2,186,525,885.94","30,630,618.3","10,331,628.61","10,100,630.1","2,206,824,875.63","499,481,719.56","1,707,343,156.07","1,704,265,460.43","3,077,695.64","0.217","0.217"
600006,东风汽车,"19,800,179,458.67","19,800,179,458.67","0","0","0","19,917,330,101.7","17,480,279,779.62","0","0","0","0","0","0","0","303,422,755.81","1,142,940,885.44","891,436,959.35","-27,704,424.47","126,954,145.95","0","708,315,723.54","0","0","591,165,080.51","64,345,678.21","25,647,884.95","2,128,024.85","629,862,873.77","26,225,042.4","603,637,831.37","570,824,784.85","32,813,046.52","0.2854","0.2854"
600007,中国国贸,"1,035,944,829","1,035,944,829","0","0","0","874,004,545","580,056,474","0","0","0","0","0","0","0","53,826,686","34,164,283","124,904,760","81,052,342","0","0","244,002","244,002","0","162,184,286","2,599,798","2,571,501","1,728,132","162,212,583","40,875,211","121,337,372","120,778,328","559,044","0.12","0.12"
600008,首创股份,"3,036,660,750.59","3,036,660,750.59","0","0","0","2,551,201,884.69","1,806,718,784.53","0","0","0","0","0","0","0","54,482,457.92","49,453,408.96","424,585,699.12","204,472,312.68","11,489,221.48","-3,105,817.27","2,624,620.53","-47,011,701.21","0","484,977,669.16","271,421,195.05","14,630,531.51","5,953,287.11","741,768,332.7","142,242,097.71","599,526,234.99","482,668,446.77","116,857,788.22","0.2194","0.2194"
600009,上海机场,"4,186,408,260.79","4,186,408,260.79","0","0","0","3,012,782,834.85","2,559,573,482.08","0","0","0","0","0","0","0","166,195,641.46","0","149,344,104.11","138,388,597.37","-718,990.17","0","494,108,643.69","494,564,022.02","0","1,667,734,069.63","1,608,104.17","334,959.15","175,422.58","1,669,007,214.65","262,834,809.82","1,406,172,404.83","1,310,708,582.78","95,463,822.05","0.68","0.68"
