股票代码,简称,货币资金(元),结算备付金(元),拆出资金(元),交易性金融资产(元),应收票据(元),应收帐款(元),预付帐款(元),应收保费(元),应收分保账款(元),应收分保合同准备金(元),应收利息(元),应收股利(元),其他应收款(元),买入返售金融资产(元),存货(元),一年内到期的非流动资产(元),其他流动资产(元),流动资产合计(元),发放贷款和垫款(元),可供出售金融资产(元),持有至到期投资(元),长期应收款(元),长期股权投资(元),投资性房地产(元),固定资产净额(元),在建工程(元),工程物资(元),固定资产清理(元),生产性生物资产(元),油气资产(元),无形资产(元),开发支出(元),商誉(元),长期待摊费用(元),递延税款借项合计(元),其他长期资产(元),非流动资产合计(元),资产总计(元),短期借款(元),向中央银行借款(元),吸收存款及同业存放(元),拆入资金(元),交易性金融负债(元),应付票据(元),应付帐款(元),预收帐款(元),卖出回购金融资产款(元),应付手续费及佣金(元),应付职工薪酬(元),应交税金(元),应付利息(元),应付股利(元),其他应付款(元),应付分保账款(元),保险合同准备金(元),代理买卖证券款(元),代理承销证券款(元),一年内到期的长期负债(元),其他流动负债(元),流动负债合计(元),长期借款(元),应付债券(元),长期应付款(元),专项应付款(元),预计负债(元),递延税款贷项合计(元),其他长期负债(元),长期负债合计(元),负债合计(元),股本(元),资本公积(元),库存股(元),盈余公积(元),一般风险准备(元),未分配利润(元),外币报表折算差额(元),归属于母公司所有者权益合计(元),少数股东权益(元),股东权益合计(元),负债和股东权益合计(元)
600000,浦发银行,"0","0","85,420,000,000","18,441,000,000","0","0","0","0","0","0","13,546,000,000","0","1,780,000,000","267,089,000,000","0","0","0","0","1,508,806,000,000","150,741,000,000","159,286,000,000","0","2,464,000,000","0","8,781,000,000","1,320,000,000","0","0","0","0","517,000,000","0","0","1,379,000,000","5,636,000,000","0","0","3,145,707,000,000","0","115,000,000","0","32,466,000,000","0","0","0","0","84,540,000,000","0","7,214,000,000","8,295,000,000","24,679,000,000","12,000,000","0","0","0","0","0","0","0","0","0","68,600,000,000","0","0","0","0","0","0","2,966,048,000,000","18,653,000,000","59,560,000,000","0","27,248,000,000","23,050,000,000","48,986,000,000","0","177,497,000,000","2,162,000,000","179,659,000,000","3,145,707,000,000"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"1,163,691,950.81","0","0","0","0","627,287,789.86","14,017,867.99","0","0","0","0","0","104,002,870.23","0","54,686,335.33","0","0","1,963,686,814.22","0","134,200,000","0","0","71,400,000","0","7,828,188,364.56","36,782,712.59","0","0","0","0","21,536,069.65","0","0","4,571,183.74","83,932,040.96","0","8,180,610,371.5","10,144,297,185.72","800,000,000","0","0","0","0","14,100,000","105,774,414.66","91,722,954.47","0","0","205,230,185.66","224,142,292.89","1,476,678.35","14,655,428.75","910,498,730.07","0","0","0","0","82,000,000","0","2,449,600,684.85","0","0","0","0","0","14,050,000","0","222,004,710.7","2,671,605,395.55","1,150,000,000","3,228,208,605.6","0","557,276,249.67","0","2,290,612,426.88","0","7,226,097,282.15","246,594,508.02","7,472,691,790.17","10,144,297,185.72"
600005,武钢股份,"1,613,667,896.73","0","0","0","8,485,370,159.99","1,955,094,995.28","1,296,390,729.45","0","0","0","0","0","141,117,454.94","0","12,572,393,635.19","0","0","26,064,034,871.58","0","0","0","1,250,000","4,826,827,110.52","0","58,967,736,723.25","7,471,321,980.26","119,361,947.68","0","0","0","869,552,126.74","83,435,646.2","0","0","315,386,392.08","8,719,895.25","72,663,591,821.98","98,727,626,693.56","26,011,793,961.17","0","0","0","0","4,786,414,059.49","14,053,799,407.29","6,106,061,896.96","0","0","73,524,738.99","-634,905,626.4","298,403,126.65","0","1,713,843,621.1","0","0","0","0","904,032,181.94","15,323,292.55","53,328,290,659.74","1,379,522,804.29","7,168,114,123.56","20,210,000","0","0","0","75,051,361.26","8,642,898,289.11","61,971,188,948.85","10,093,779,823","10,140,356,510.69","0","4,719,608,201.03","0","10,642,370,185.64","-142,983.19","35,612,996,204.56","1,143,441,540.15","36,756,437,744.71","98,727,626,693.56"
600006,东风汽车,"4,010,196,453.48","0","0","0","3,726,328,273","738,053,741.1","310,759,196.3","0","0","0","1,355,058.98","0","194,214,074.73","0","2,463,612,620.77","0","0","11,444,519,418.36","0","78,900,000","0","0","1,313,637,478.53","18,640,284.97","3,848,782,773.93","590,312,828.13","0","5,355,994.17","0","0","800,906,807.33","0","309,868,490.5","555,724.51","185,014,963.55","6,000,000","7,157,975,345.62","18,602,494,763.98","14,391,548.4","0","0","0","0","4,019,477,286.73","3,728,561,809.31","820,163,925.48","0","0","227,553,272.16","-247,807,299.22","0","0","1,042,084,069.89","0","0","0","0","0","0","9,604,424,612.75","0","991,750,716.44","0","3,000,000","138,487,548.13","27,921,040.34","322,716,590.96","1,483,875,895.87","11,088,300,508.62","2,000,000,000","694,931,234.46","0","704,204,524.2","0","2,579,044,823.79","0","5,978,180,582.45","1,536,013,672.91","7,514,194,255.36","18,602,494,763.98"
600007,中国国贸,"443,971,052","0","0","0","0","167,759,766","16,241,898","0","0","0","0","0","3,426,788","0","32,180,196","0","0","663,579,700","0","0","0","0","4,818,090","5,284,070,985","1,395,787,722","480,028,242","0","0","0","0","1,270,652,485","0","0","245,342,176","26,506,054","0","8,707,205,754","9,370,785,454","0","0","0","0","0","0","15,544,012","47,950,723","0","0","50,254,459","28,827,873","4,980,878","0","701,152,714","0","0","0","0","0","0","848,710,659","2,826,030,000","1,000,000,000","0","0","0","0","0","3,826,030,000","4,674,740,659","1,007,282,534","1,872,518,599","0","456,812,803","0","1,357,964,990","0","4,694,578,926","1,465,869","4,696,044,795","9,370,785,454"
600008,首创股份,"2,338,063,281.01","0","0","9,460,137.47","1,985,116.87","1,147,184,943.42","1,244,593,412.32","0","0","0","0","20,000,000","813,918,380.55","0","3,967,746,927.2","25,364,822.62","0","9,568,317,021.46","0","69,498,003.79","595,639,546.58","124,487,280","1,383,394,102.55","0","3,818,127,822.7","326,183,559.01","118,604.85","0","0","0","5,162,615,318.2","0","40,015,660.82","13,460,449.37","43,124,024.49","810,000,000","12,386,664,372.36","21,954,981,393.82","2,817,940,000","0","0","0","0","581,204.41","1,141,967,008.19","854,070,688.08","0","0","134,522,135.01","139,796,458.18","75,398,546.65","37,495,158.56","1,082,731,444.41","0","0","0","0","902,214,153.79","2,081,981.8","7,188,798,779.08","2,785,942,644.45","2,000,000,000","394,899,055.87","71,281,863.07","526,098,728.33","17,747,287.83","56,753,633.06","5,852,723,212.61","13,041,521,991.69","2,200,000,000","1,677,622,902.59","0","619,591,694.15","0","1,227,771,573.11","-21,737,327.88","5,703,248,841.97","3,210,210,560.16","8,913,459,402.13","21,954,981,393.82"
600009,上海机场,"4,795,699,132.6","0","0","0","4,576,572","811,631,548.04","830,437.11","0","0","0","52,285,774.47","0","28,021,160.75","0","18,651,135.49","0","0","5,711,695,760.46","0","0","0","0","1,779,480,529.44","0","11,178,854,866.43","311,881,373.64","0","0","0","0","358,939,065.21","0","0","5,469,872.56","62,516,887.66","0","13,697,142,594.94","19,408,838,355.4","0","0","0","0","0","0","83,557,362.99","10,465,125.99","0","0","215,658,568.43","90,905,601.61","40,958,895.11","44,563.31","420,093,474.34","0","0","0","0","0","0","861,683,591.78","0","2,488,934,524.89","0","0","0","0","5,400,000","2,494,334,524.89","3,356,018,116.67","1,926,958,448","2,575,497,907.54","0","1,309,796,168","0","9,973,027,077.34","0","15,785,279,600.88","267,540,637.85","16,052,820,238.73","19,408,838,355.4"
