股票代码,简称,货币资金(元),结算备付金(元),拆出资金(元),交易性金融资产(元),应收票据(元),应收帐款(元),预付帐款(元),应收保费(元),应收分保账款(元),应收分保合同准备金(元),应收利息(元),应收股利(元),其他应收款(元),买入返售金融资产(元),存货(元),一年内到期的非流动资产(元),其他流动资产(元),流动资产合计(元),发放贷款和垫款(元),可供出售金融资产(元),持有至到期投资(元),长期应收款(元),长期股权投资(元),投资性房地产(元),固定资产净额(元),在建工程(元),工程物资(元),固定资产清理(元),生产性生物资产(元),油气资产(元),无形资产(元),开发支出(元),商誉(元),长期待摊费用(元),递延税款借项合计(元),其他长期资产(元),非流动资产合计(元),资产总计(元),短期借款(元),向中央银行借款(元),吸收存款及同业存放(元),拆入资金(元),交易性金融负债(元),应付票据(元),应付帐款(元),预收帐款(元),卖出回购金融资产款(元),应付手续费及佣金(元),应付职工薪酬(元),应交税金(元),应付利息(元),应付股利(元),其他应付款(元),应付分保账款(元),保险合同准备金(元),代理买卖证券款(元),代理承销证券款(元),一年内到期的长期负债(元),其他流动负债(元),流动负债合计(元),长期借款(元),应付债券(元),长期应付款(元),专项应付款(元),预计负债(元),递延税款贷项合计(元),其他长期负债(元),长期负债合计(元),负债合计(元),股本(元),资本公积(元),库存股(元),盈余公积(元),一般风险准备(元),未分配利润(元),外币报表折算差额(元),归属于母公司所有者权益合计(元),少数股东权益(元),股东权益合计(元),负债和股东权益合计(元)
600000,浦发银行,"0","0","26,828,000,000","28,627,000,000","0","0","0","0","0","0","14,709,000,000","0","2,143,000,000","295,953,000,000","0","0","0","0","1,725,745,000,000","160,593,000,000","146,253,000,000","0","2,268,000,000","0","0","0","0","0","0","0","758,000,000","0","0","0","9,382,000,000","0","0","3,680,125,000,000","0","601,000,000","0","61,981,000,000","0","0","0","0","79,557,000,000","0","6,273,000,000","10,496,000,000","32,841,000,000","0","0","0","0","0","0","0","0","0","0","63,368,000,000","0","0","0","0","0","0","3,472,898,000,000","18,653,000,000","55,775,000,000","0","37,460,000,000","29,450,000,000","0","0","204,375,000,000","2,852,000,000","207,227,000,000","3,680,125,000,000"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"1,740,129,336.61","0","0","0","4,000,000","578,314,837.77","14,263,174.66","0","0","0","512,467.18","0","81,785,127.4","0","52,728,719.52","0","3,550,293.63","2,475,283,956.77","0","114,754,224.76","0","0","88,396,907.71","0","0","9,585,270","0","0","0","0","20,286,926.34","0","0","4,840,609.09","79,008,700.33","0","7,474,455,786.77","9,949,739,743.54","0","0","0","0","0","23,600,000","98,905,573.69","89,540,232.61","0","0","209,102,432.97","278,004,851.13","0","5,418,558.63","1,025,022,821.79","0","0","0","0","0","0","1,729,594,470.82","0","0","0","0","0","9,569,388.53","0","193,760,151.11","1,923,354,621.93","1,150,000,000","3,214,766,771.19","0","575,000,000","0","0","0","7,728,113,063.42","298,272,058.19","8,026,385,121.61","9,949,739,743.54"
600005,武钢股份,"1,958,588,491.93","0","0","0","5,264,977,256.65","2,753,702,759.24","1,148,148,314.86","0","0","0","0","0","121,569,109.68","0","11,989,709,769.79","0","0","23,236,695,702.15","0","0","0","2,210,000","5,272,389,005.47","0","0","5,712,937,242.83","98,911,037.97","0","0","0","1,060,078,668.58","61,751,770.68","0","0","332,689,341.46","7,050,595.41","71,439,704,913.41","94,676,400,615.56","26,930,252,264.94","0","0","0","0","4,862,717,020.17","12,254,714,636.47","4,061,688,881.61","0","0","48,009,514.36","-1,244,090,110.44","328,144,566.69","0","1,647,195,341.52","0","0","0","0","624,672,031.31","15,323,292.54","49,528,627,439.17","727,679,267.32","7,182,253,200.38","42,921,367.21","0","0","0","66,484,746.37","8,019,338,581.28","57,547,966,020.45","10,093,779,823","10,140,933,393.14","0","4,743,862,865.1","0","0","-493,617.3","35,935,644,956.54","1,192,789,638.57","37,128,434,595.11","94,676,400,615.56"
600006,东风汽车,"4,219,264,815.41","0","0","46,781,092.6","6,449,246,827.96","647,322,010.87","290,088,342.31","0","0","0","2,303,948.71","0","184,318,958.34","0","1,746,816,616.32","6,000,000","0","13,592,142,612.52","0","19,938,798","0","0","1,414,040,902.1","17,773,478.46","0","715,319,991.05","0","1,662,196.05","0","0","615,161,035.3","0","309,868,490.5","283,599.45","254,745,972.38","0","6,599,702,420.65","20,191,845,033.17","9,785,873.1","0","0","0","0","4,701,882,112.49","4,314,553,697.49","542,861,003.47","0","0","297,462,051.84","-95,128,441.9","0","0","1,093,094,318.62","0","0","0","0","0","0","10,864,510,615.11","0","994,553,016.46","0","1,700,000","161,123,017.39","14,949,839.37","398,400,985.25","1,570,726,858.47","12,435,237,473.58","2,000,000,000","641,854,561.67","0","704,204,524.2","0","0","0","5,968,686,544.5","1,787,921,015.09","7,756,607,559.59","20,191,845,033.17"
600007,中国国贸,"423,912,391","0","0","0","0","151,977,606","18,160,956","0","0","0","0","0","3,854,880","0","26,139,267","0","0","624,045,100","0","0","0","0","5,195,190","5,396,962,956","0","250,209,159","0","0","0","0","1,239,880,844","0","0","227,641,669","68,102,026","179,611,876","8,696,705,792","9,320,750,892","0","0","0","0","0","0","22,400,508","59,798,158","0","0","50,799,108","28,187,167","4,257,500","0","695,280,056","0","0","0","0","0","0","860,722,497","2,600,000,000","1,000,000,000","0","0","0","0","0","3,600,000,000","4,460,722,497","1,007,282,534","1,872,518,599","0","489,607,132","0","0","0","4,858,610,501","1,417,894","4,860,028,395","9,320,750,892"
600008,首创股份,"3,265,278,460.32","0","0","6,170,653.22","2,763,160","1,367,470,331.7","1,654,872,517.65","0","0","0","2,188,800","0","861,065,622.49","0","2,528,620,002.68","20,045,136.61","0","9,708,474,684.67","0","56,720,022.94","489,500,000","771,474,110.3","1,504,870,385.52","0","0","686,498,934.03","0","0","0","0","6,036,486,427.04","0","290,474,815.45","42,359,517.01","46,443,106.17","64,000,000","14,618,157,240.69","24,326,631,925.36","2,480,332,080","0","0","0","0","35,000,000","748,850,334.71","885,820,809.55","0","0","123,627,887.92","192,423,724.01","119,446,614.65","45,831,077.33","1,018,405,012.92","0","0","0","0","1,871,828,678.63","1,871,782.37","7,523,438,002.09","4,041,206,568.84","1,909,603,430.5","225,311,169.87","89,642,705","548,485,145.38","35,581,420.25","112,984,346.48","6,962,814,786.32","14,486,252,788.41","2,200,000,000","1,650,987,977.13","0","658,756,359.03","0","0","123,500,461.88","6,093,117,164.29","3,747,261,972.66","9,840,379,136.95","24,326,631,925.36"
600009,上海机场,"6,675,736,780.11","0","0","0","0","777,992,587.42","47,272,387.92","0","0","0","73,614,788.83","0","15,076,644.45","0","18,400,278.66","0","0","7,608,093,467.39","0","0","0","0","1,796,009,299.32","0","0","634,532,543.48","0","0","0","0","348,803,943.92","0","0","4,663,721.02","76,379,169.47","0","13,310,236,002.1","20,918,329,469.49","0","0","0","0","0","0","152,195,069.95","9,936,792.43","0","0","279,427,362.73","273,590,234.36","40,958,891.11","0","418,112,746.33","0","0","0","0","0","0","1,174,221,096.91","0","2,491,468,180.89","0","0","0","0","5,400,000","2,496,868,180.89","3,671,089,277.8","1,926,958,448","2,575,497,907.54","0","1,309,796,168","0","0","0","16,945,159,605.65","302,080,586.04","17,247,240,191.69","20,918,329,469.49"
