股票代码,简称,销售商品提供劳务收到的现金(元),客户存款和同业存放款项净增加额(元),向中央银行借款净增加额(元),向其他金融机构拆入资金净增加额(元),收到原保险合同保费取得的现金(元),收到再保险业务现金净额(元),保户储金及投资款净增加额(元),处置交易性金融资产净增加额(元),收取利息、手续费及佣金的现金(元),拆入资金净增加额(元),回购业务资金净增加额(元),收到的税费返还(元),收到的其他与经营活动有关的现金(元),经营活动现金流入小计(元),购买商品接受劳务支付的现金(元),客户贷款及垫款净增加额(元),存放中央银行和同业款项净增加额(元),支付原保险合同赔付款项的现金(元),支付利息、手续费及佣金的现金(元),支付保单红利的现金(元),支付给职工以及为职工支付的现金(元),支付的各项税费(元),支付的其他与经营活动有关的现金(元),经营活动现金流出小计(元),经营活动现金流量净额(元),收回投资所收到的现金(元),取得投资收益所收到的现金(元),处置固定资产、无形资产和其他长期资产而收回的现金(元),收回投资所收到的现金中的出售子公司收到的现金(元),收到的其他与投资活动有关的现金(元),投资活动现金流入小计(元),购建固定资产、无形资产和其他长期资产所支付的现金(元),投资所支付的现金(元),质押贷款净增加额(元),取得子公司及其他营业单位支付的现金净额(元),支付的其他与投资活动有关的现金(元),投资活动现金流出小计(元),投资活动产生的现金流量净额(元),吸收投资所收到的现金(元),吸收投资所收到的现金中的子公司吸收少数股东权益性投资收到的现金(元),借款所收到的现金(元),发行债券所收到的现金(元),收到其他与筹资活动有关的现金(元),筹资活动现金流入小计(元),偿还债务所支付的现金(元),分配股利利润或偿付利息所支付的现金(元),分配股利利润或偿付利息所支付的现金中的支付少数股东的股利(元),支付的其他与筹资活动有关的现金(元),筹资活动现金流出小计(元),筹资活动产生的现金流量净额(元),汇率变动对现金的影响(元),现金及现金等价物净增加额(元),现金及现金等价物余额(元)
600698,ST轻骑,"415,346,578.81","0","0","0","0","0","0","0","0","0","0","3,669,965.51","31,926,571.26","450,943,115.58","206,589,688.83","0","0","0","0","0","131,408,140.34","48,288,071.72","47,060,412.34","433,346,313.23","17,596,802.35","0","0","40,363","0","0","40,363","39,175,984.97","0","0","0","0","39,175,984.97","-39,135,621.97","0","0","28,000,000","0","0","28,000,000","118,000,000","5,324,242.9","0","7,828,594","131,152,836.9","-103,152,836.9","0","-124,691,656.52","207,150,223.77"
600699,均胜电子,"6,379,448,177.44","0","0","0","0","0","0","0","0","0","0","21,269,783.09","46,504,128.94","6,447,222,089.47","3,991,400,883.84","0","0","0","0","0","1,083,847,378.71","192,606,392.76","528,905,018","5,796,759,673.31","650,462,416.16","39,105,144","0","3,807,884.25","0","10,000,000","52,913,028.25","578,560,517.2","4,718,625.07","0","0","0","583,279,142.27","-530,366,114.02","469,181,371.37","0","593,225,081.63","0","5,235,481.3","1,067,641,934.3","935,104,997.28","62,102,255.95","0","175,786,000","1,172,993,253.23","-105,351,318.93","892,810.17","15,637,793.38","336,697,760.3"
600700,*ST数码,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600701,工大高新,"771,338,385.31","0","0","0","0","0","0","0","0","0","0","0","201,243,454.74","972,581,840.05","483,156,876.53","0","0","0","0","0","58,253,783.9","42,343,308.09","346,176,114.04","929,930,082.56","42,651,757.49","0","0","4,000","0","679,546,548.4","679,550,548.4","245,896,625.69","0","0","0","750,000,000","995,896,625.69","-316,346,077.29","0","0","535,000,000","0","49,899,238.51","584,899,238.51","78,400,000","39,992,360.79","0","18,000,000","136,392,360.79","448,506,877.72","0","174,812,557.92","244,182,739.39"
600702,沱牌舍得,"1,952,265,122.24","0","0","0","0","0","0","0","0","0","0","0","13,808,129.28","1,966,073,251.52","753,499,804.42","0","0","0","0","0","258,936,435.55","409,770,239.44","439,745,658.9","1,861,952,138.31","104,121,113.21","0","0","160,000","0","3,778,784.99","3,938,784.99","42,768,317.6","0","0","0","0","42,768,317.6","-38,829,532.61","0","0","540,000,000","0","0","540,000,000","350,000,000","136,033,272.38","0","198,305,562.5","684,338,834.88","-144,338,834.88","0","-79,047,254.28","145,032,231.1"
600703,三安光电,"2,520,912,416.78","0","0","0","0","0","0","0","0","0","0","21,522,004.11","254,601,289.32","2,797,035,710.21","1,158,225,468.96","0","0","0","0","0","387,927,121.08","346,959,199.17","138,644,777.99","2,031,756,567.2","765,279,143.01","5,467,854.45","0","438,014.8","0","209,915,000","215,820,869.25","950,898,038.3","549,478,735.76","0","129,978,956.47","0","1,630,355,730.53","-1,414,534,861.28","0","0","3,351,839,000","0","0","3,351,839,000","2,810,480,000","534,863,869.38","0","71,918,851.45","3,417,262,720.83","-65,423,720.83","1,552,814.93","-713,126,624.17","783,739,543.03"
600704,物产中大,"45,708,445,439.41","0","0","0","0","0","0","0","258,224,062.03","0","0","371,988,032.8","672,512,632.87","47,011,170,167.11","45,496,569,585.15","12,154,607.66","0","0","0","0","1,079,605,531.28","1,307,733,972","1,002,856,403.07","48,898,920,099.16","-1,887,749,932.05","906,270,266.32","22,374,807.13","142,536,803.69","0","0","1,071,181,877.14","614,943,879.53","1,030,913,085.04","0","24,933,700","100,605,199.05","1,771,395,863.62","-700,213,986.48","66,230,000","66,230,000","20,002,583,734.05","2,282,000,000","680,000","22,351,493,734.05","19,149,238,477.03","1,225,931,365.99","204,190,149.93","67,207,307.63","20,442,377,150.65","1,909,116,583.4","-17,464.25","-678,864,799.38","2,744,257,466.17"
600705,中航投资,"6,291,618,474.62","9,799,210,417.63","117,210,875","182,907,000","0","0","0","-862,993,052.27","3,343,199,942.06","350,000,000","267,961,609.17","892,581.92","1,034,233,382.39","20,524,241,230.52","10,578,765,327.28","3,050,706,879.55","1,117,560,075.79","0","632,820,919.64","0","584,854,652.23","994,451,844.92","2,034,521,557.1","18,993,681,256.51","1,530,559,974.01","8,109,383,023.46","590,615,513.88","1,120,869.89","0","59,712,759.93","8,760,832,167.16","1,330,331,485.94","11,459,739,296.31","0","135,856,525.63","15,300,000","12,941,227,307.88","-4,180,395,140.72","481,274,700","481,274,700","20,373,638,085.52","0","5,400,000","20,860,312,785.52","12,493,176,558.14","1,942,445,408.79","338,826,832.83","16,686,000","14,452,307,966.93","6,408,004,818.59","500,209.94","3,758,669,861.82","23,778,769,659.45"
600706,曲江文旅,"1,230,866,353.59","0","0","0","0","0","0","0","0","0","0","14,158,914","112,858,826.65","1,357,884,094.24","633,588,369.81","0","0","0","0","0","230,530,158.16","74,498,722.31","397,179,947.08","1,335,797,197.36","22,086,896.88","0","0","622,000","0","0","622,000","155,644,413.97","1,200,000","0","0","9,536,042.97","166,380,456.94","-165,758,456.94","0","0","691,800,000","0","0","691,800,000","339,700,000","35,843,160.91","0","1,110,000","376,653,160.91","315,146,839.09","0","171,475,279.03","357,148,829.5"
600707,*ST彩虹,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
