股票代码,简称,国家持有的有限售条件流通股份数,国有法人持有的有限售条件流通股份数,其他有限售条件的内资流通股份数,境内法人持有的有限售条件流通股份数,境内自然人持有的有限售条件流通股份数,有限售条件的外资流通股份数,境外法人持有的有限售条件流通股份数,境外自然人持有的有限售条件流通股份数,其他有限售股流通股数,有限售条件流通股数,无限售条件人民币普通股数,无限售条件境内上市的外资股数,无限售条件境外上市的外资股数,其他无限售条件已上市流通股份数,无限售条件流通股份合计,股份总数,国家持有的有限售条件流通股份占总股本比例(%),国有法人持有的有限售条件流通股份占总股本比例(%),其他有限售条件的内资流通股份占总股本比例(%),境内法人持有的有限售条件流通股份占总股本比例(%),境内自然人持有的有限售条件流通股份占总股本比例(%),有限售条件的外资流通股份占总股本比例(%),境外法人持有的有限售条件流通股份占总股本比例(%),境外自然人持有的有限售条件流通股份占总股本比例(%),其他有限售股流通股份占总股本比例(%),有限售条件流通股占总股本比例(%),无限售条件人民币普通股占总股本比例(%),无限售条件境内上市的外资股占总股本比例(%),无限售条件境外上市的外资股占总股本比例(%),其他无限售条件已上市流通股份占总股本比例(%),无限售条件流通股占总股本比例(%),股份总数占总股本比例(%)
600000,浦发银行,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600001,邯郸钢铁,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600002,齐鲁退市,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600003,ST东北高,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
600004,白云机场,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600005,武钢股份,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600006,东风汽车,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600007,中国国贸,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600008,首创股份,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600009,上海机场,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600010,包钢股份,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600011,华能国际,"0","0","0","0","0","0","0","0","0","0","10,500,000,000","0","3,920,383,440","0","14,420,383,440","14,420,383,440","-","-","-","-","-","-","-","-","-","-",72.81,"-",27.19,"-",100.0,100.0
600012,皖通高速,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600015,华夏银行,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600016,民生银行,"0","0","0","0","0","0","0","0","0","0","27,219,523,629","0","6,933,579,408","0","34,153,103,037","34,153,103,037","-","-","-","-","-","-","-","-","-","-",79.7,"-",20.3,"-",100.0,100.0
600017,日照港,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600018,上港集团,"0","0","0","0","0","0","0","0","0","0","22,755,179,650","0","0","0","22,755,179,650","22,755,179,650","-",0.0,"-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
600019,宝钢股份,"0","0","46,747,200","0","46,747,200","0","0","0","0","46,747,200","16,424,278,824","0","0","0","16,424,278,824","16,471,026,024","-","-",0.28,"-",0.28,"-","-","-","-",0.28,99.72,"-","-","-",99.72,100.0
600020,中原高速,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600021,上海电力,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600022,山东钢铁,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600026,中海发展,"0","0","0","0","0","0","0","0","0","0","2,185,405,286","0","1,296,000,000","0","3,481,405,286","3,481,405,286","-","-","-","-","-","-","-","-","-","-",62.77,"-",37.23,"-",100.0,100.0
600027,华电国际,"0","1,210,000,000","0","0","0","0","0","0","0","1,210,000,000","5,880,056,200","0","1,717,233,600","0","7,597,289,800","8,807,289,800","-",13.74,"-","-","-","-","-","-","-",13.74,66.76,"-",19.5,"-",86.26,100.0
600028,中国石化,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600029,南方航空,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600030,中信证券,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600031,三一重工,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600033,福建高速,"0","0","0","0","0","0","0","0","0","0","2,744,400,000","0","0","0","2,744,400,000","2,744,400,000",0.0,"-","-","-","-","-","-","-","-",0.0,100.0,"-","-","-",100.0,100.0
600035,楚天高速,"0","0","0","0","0","0","0","0","0","0","1,211,148,244","0","0","0","1,211,148,244","1,211,148,244","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600036,招商银行,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600037,歌华有线,"0","0","0","0","0","0","0","0","0","0","1,063,793,491","0","0","0","1,063,793,491","1,063,793,491","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600038,哈飞股份,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600039,四川路桥,"0","998,600,000","0","0","0","0","0","0","0","998,600,000","2,021,132,672","0","0","0","2,021,132,672","3,019,732,672","-",33.07,0.0,0.0,"-","-","-","-","-",33.07,66.93,"-","-","-",66.93,100.0
600048,保利地产,"0","0","0","0","0","0","0","0","0","0","10,729,745,027","0","0","0","10,729,745,027","10,729,745,027","-","-","-","-","-","-","-","-","-","-",100.0,"-","-","-",100.0,100.0
600050,中国联通,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600051,宁波联合,"0","0","8,480,000","0","8,480,000","0","0","0","0","8,480,000","302,400,000","0","0","0","302,400,000","310,880,000","-","-",2.73,"-",2.73,"-","-","-","-",2.73,97.27,"-","-","-",97.27,100.0
600052,浙江广厦,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600053,中江地产,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600054,黄山旅游,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
600055,华润万东,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
